"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated","sup_diff","sup_diff_rec"
"101","101","1","inf","142.00338196754456","[0.012574978896227067, -0.04505719856864363, 0.07939474271739205, -0.10563100214668758, 0.12708300293281907, -0.13186403858910653, 0.11825518665646886, -0.1020571653881744, 0.0769593550523529, -0.040682901362960266, 0.005329034398178122, 0.033573006699891536, -0.06592421753361571, 0.07177917796645536, -0.06353803915588406, 0.04781993495506923, -0.021592522858347528, 0.0029044967435768168, 0.013082983005206472, -0.03953639024766799, 0.0544913790708334, -0.055012355401450386, 0.04992617276361582, -0.023960363062705804, -0.004605923227821833, 0.015499229703052678, -0.034267632089844645, 0.053865508113419835, -0.05766561950601355, 0.06349467817574923, -0.04350786108648351, -0.01633690687293307, 0.059945432405977585, -0.08421044814292418, 0.09400342667643483, -0.05048204994599413, 0.004716104871932431, 0.010847105793247647, -0.0621738018866789, 0.10489833942994638, -0.09784934864019809, 0.10175843851756092, -0.01934759476132939, -0.16136620677207356, 0.201611017792764, -0.15192801887231983, 0.06948369985257942, 0.3327515791039775, -0.5139716072932741, -0.6615657745282392, -0.15184891807920559]","[0.0, 0.020922481664038668, 0.0, -0.05944174329661335, 0.0, 0.0915419957054055, 0.0, -0.11499927298644436, 0.0, 0.1266520023753533, 0.0, -0.12686314577025584, 0.0, 0.11624904555271748, 0.0, -0.09393402287885402, 0.0, 0.06421012343288263, 0.0, -0.031426232881981195, 0.0, -0.0015524551716787763, 0.0, 0.029135896933638286, 0.0, -0.048441741146644124, 0.0, 0.059773231201308355, 0.0, -0.059913095518418225, 0.0, 0.048967625402094955, 0.0, -0.030502241057547168, 0.0, 0.005800478758217617, 0.0, 0.01963665630861583, 0.0, -0.03867412445170158, 0.0, 0.05066864995863965, 0.0, -0.0531738756913518, 0.0, 0.04399767136653836, 0.0, -0.027273200196932884, 0.0, 0.004337835922447775, 0.0, 0.022864101412011506, 0.0, -0.044651247466944474, 0.0, 0.05685947323488791, 0.0, -0.05779841245875171, 0.0, 0.042984764407549295, 0.0, -0.01725942728646757, 0.0, -0.011919617861840398, 0.0, 0.0434464797174938, 0.0, -0.0669672639260818, 0.0, 0.07295322711409388, 0.0, -0.062045035903119036, 0.0, 0.02961498206300583, 0.0, 0.020733374067549583, 0.0, -0.06797626485983493, 0.0, 0.10145648762819229, 0.0, -0.10846920363925662, 0.0, 0.06830168838667924, 0.0, 0.010284440881147047, 0.0, -0.10484454437070781, 0.0, 0.18613400947718123, 0.0, -0.17971212025210603, 0.0, 0.018195342465242646, 0.0, 0.2882320878040766, 0.0, -0.4773712019395727, 0.0, -0.6155893537415197, 0.0, -0.1411858860136555]","True","2.235941515331432","1.99840690382573"
"128","101","1","1.2238528804327964","74.33986902236938","[0.015417601942149623, -0.054305240805145906, 0.08076268110850551, -0.10946310136651932, 0.11982012613693739, -0.12174691053309707, 0.10851451551564972, -0.11311282222275242, 0.07423971441024885, -0.004495604520875181, 0.015920500020846686, -0.010725047336031197, -0.05119481374549683, 0.05638216277986573, -0.08009060695118404, 0.06493226490714465, -0.027417585493352454, 0.017565707843713824, 0.028737636526724585, -0.02260370338823384, 0.05251657295261996, -0.03629947995192124, 0.05162253220312063, -0.028229976123187082, 0.03295674124841861, 0.006273541304203936, -0.022995120840891517, 0.05624407314469074, -0.05850234871955356, 0.05608478767913921, -0.04110550190712724, 0.020273390123783926, 0.02158735318417825, -0.05432610915760747, 0.0722627758289495, -0.07448857167496117, 0.06000937344424184, -0.02914219106361108, -0.02360390418691074, 0.06342423993323394, -0.11486409394984554, 0.09866888399814126, -0.10275560364018882, -0.02906894654054186, 0.03192552174270807, -0.2921085576920768, 0.04840069834037722, -0.40720918984396376, -0.7442945353473189, 0.1183596771730647, 0.2896669289850759]","[0.0, 0.020016605197042705, 0.0, -0.05549592534776591, 0.0, 0.08808307363884119, 0.0, -0.10952504021455008, 0.0, 0.12325684057254187, 0.0, -0.12326512098740333, 0.0, 0.1143864085978504, 0.0, -0.09301530201959533, 0.0, 0.06719625078161816, 0.0, -0.03669537613299055, 0.0, 0.004709607703274295, 0.0, 0.024028955454336434, 0.0, -0.04415754539858544, 0.0, 0.05633615095320636, 0.0, -0.05793775812358345, 0.0, 0.050501160799749464, 0.0, -0.03502189265259367, 0.0, 0.014029800784577637, 0.0, 0.008957121686292042, 0.0, -0.029355016378547927, 0.0, 0.04528581403889586, 0.0, -0.05116620255134874, 0.0, 0.04868721275483691, 0.0, -0.03521078062625602, 0.0, 0.015026818189574138, 0.0, 0.00849980379054393, 0.0, -0.03066626230338757, 0.0, 0.04765652553643311, 0.0, -0.05523144549085799, 0.0, 0.05215762965157765, 0.0, -0.035299524474617934, 0.0, 0.009749982263258542, 0.0, 0.01966635417263657, 0.0, -0.04708735766387256, 0.0, 0.06613541157319125, 0.0, -0.0703822556872302, 0.0, 0.05454667781800235, 0.0, -0.024529637543321, 0.0, -0.02246043609275091, 0.0, 0.06093200816586558, 0.0, -0.10387306639003929, 0.0, 0.09167191092938178, 0.0, -0.09330472756235501, 0.0, -0.028131882816536995, 0.0, 0.029775063711347, 0.0, -0.2716079848352675, 0.0, 0.039515826488889724, 0.0, -0.3772524271934549, 0.0, -0.6990642003544584, 0.0, 0.1083060784800729, 0.0, 0.275549094602783]","True","2.103849924089145","1.9850729388953325"
"256","101","1","0.179699297748013","75.08048105239868","[0.019911782887229834, -0.05793845930077769, 0.09097075697291405, -0.11108111186330981, 0.12529627339805163, -0.12228460792235836, 0.1118148546000681, -0.09064815552103038, 0.0719693832076682, -0.036579798503824874, 0.006683581391252335, 0.024742825612689694, -0.04321185984249721, 0.062437259422055094, -0.06058002987896607, 0.05120478401177447, -0.033002657828472885, 0.009839409199148899, 0.009065855213705154, -0.03191814566067543, 0.0424761897840881, -0.051717864710967294, 0.05040263227766673, -0.03335707548413283, 0.016117597192706362, 0.014033370222040136, -0.036218192102459794, 0.04024230707626463, -0.053258176327925254, 0.05520755752248232, -0.0339332272999308, 0.00582777775689546, 0.019300942274698526, -0.04681907836832776, 0.06645801703195382, -0.06997390264330433, 0.05401144347250107, -0.022596019724205926, -0.02255240828432939, 0.06591664491976891, -0.10162661441391564, 0.10060140802700338, -0.08019095955058105, -0.015119275944083162, 0.06344891459342912, -0.24543144328561092, 0.08473430215263038, -0.33903504439099363, -0.7620949678630908, 0.004104603405371789, 0.23518283597581352]","[0.0, 0.019556921722460912, 0.0, -0.05666670621977094, 0.0, 0.08832948553750994, 0.0, -0.11148009773310373, 0.0, 0.12395130886299804, 0.0, -0.12484493769697905, 0.0, 0.11447703390535156, 0.0, -0.09415476012372775, 0.0, 0.0665905229906621, 0.0, -0.03519165204108607, 0.0, 0.0038637963480671134, 0.0, 0.024097868813896, 0.0, -0.04502955888789403, 0.0, 0.05691656462767375, 0.0, -0.058589131539012754, 0.0, 0.05053899890991048, 0.0, -0.03430735144515873, 0.0, 0.012857978598229607, 0.0, 0.010074097136495146, 0.0, -0.030636801322414656, 0.0, 0.04521002660593568, 0.0, -0.05115561239610972, 0.0, 0.04740735573385224, 0.0, -0.03428937707253445, 0.0, 0.01422965061974471, 0.0, 0.0093166679164743, 0.0, -0.03159701663112435, 0.0, 0.04837625488318078, 0.0, -0.05525073903214388, 0.0, 0.050463547374299055, 0.0, -0.03394844659501786, 0.0, 0.008476417612678672, 0.0, 0.02130365139190927, 0.0, -0.04847212071051976, 0.0, 0.06628050118690196, 0.0, -0.06898155862503783, 0.0, 0.05335136664227081, 0.0, -0.02109223736880577, 0.0, -0.023294790784174763, 0.0, 0.06608448417939239, 0.0, -0.10026450677864304, 0.0, 0.09881110806075656, 0.0, -0.07819544010835525, 0.0, -0.015143506664073724, 0.0, 0.06330920773982754, 0.0, -0.24262155260865514, 0.0, 0.08279285835342294, 0.0, -0.3339127096501613, 0.0, -0.7515798929706523, 0.0, 0.0031619803590819395, 0.0, 0.23204374049229665]","True","2.0205248132269467","1.9988270667904595"
"512","101","1","0.9988419347684936","73.92910099029541","[0.019673712924889775, -0.05633194113733354, 0.08735405263775477, -0.11081498601335736, 0.12328810319674964, -0.12438255855006662, 0.11438221084292298, -0.09359548657414189, 0.0672550698791669, -0.03591169412219889, 0.005115228496684149, 0.022667172247495263, -0.044485711449564265, 0.056914507944402164, -0.05900569101464114, 0.050253626702167285, -0.034213544440485286, 0.014236114724803715, 0.0079392493943485, -0.029041762988002404, 0.04453711081623937, -0.050537198828473504, 0.04687520594363185, -0.03587304903541759, 0.017057719632114145, 0.008074286536658811, -0.029783014323475607, 0.04505240015334969, -0.05623212688670696, 0.0497517443048412, -0.03656567022520988, 0.011350370902393228, 0.017192177516008572, -0.04419036363316096, 0.06326777715140021, -0.06823024215290757, 0.05602008560657995, -0.026925298312974567, -0.014160573484670536, 0.05779040930064933, -0.09171841302877494, 0.10245816529362671, -0.07928450994879799, 0.019379615789641664, 0.06818715694823517, -0.15776527142013308, 0.2029716359862781, -0.13679500367068978, -0.1282009325359381, 0.6938869700419283, 0.47111149028771215]","[0.0, 0.019414526857904058, 0.0, -0.05635466877858658, 0.0, 0.08784752695187831, 0.0, -0.11087868937309345, 0.0, 0.12337680831895134, 0.0, -0.12435806831773615, 0.0, 0.11410065748583843, 0.0, -0.09410400760470505, 0.0, 0.06689446848598435, 0.0, -0.03581433209373057, 0.0, 0.0045688053342237585, 0.0, 0.023161515629064038, 0.0, -0.04420282612411133, 0.0, 0.0562820235059299, 0.0, -0.05833233595362515, 0.0, 0.05066208381031441, 0.0, -0.034930955991868545, 0.0, 0.013947700600047222, 0.0, 0.008695960539281677, 0.0, -0.029176608463483827, 0.0, 0.0439669864371952, 0.0, -0.05046437633885393, 0.0, 0.04740628287756164, 0.0, -0.03519169431687418, 0.0, 0.0158724296067875, 0.0, 0.007070723483089824, 0.0, -0.02928627056655647, 0.0, 0.04626767839761424, 0.0, -0.05419417801760705, 0.0, 0.050799015958846935, 0.0, -0.03590770290364399, 0.0, 0.01181436838198989, 0.0, 0.01694459094188082, 0.0, -0.044187869961160864, 0.0, 0.06323063249407956, 0.0, -0.06829579525672318, 0.0, 0.056049203565546844, 0.0, -0.02690139490040218, 0.0, -0.014211226511616725, 0.0, 0.05793456727586845, 0.0, -0.09170113790146499, 0.0, 0.10222058898508299, 0.0, -0.07905894009887937, 0.0, 0.019165533804820802, 0.0, 0.06828507409418069, 0.0, -0.157408640360584, 0.0, 0.2023341067281218, 0.0, -0.13600033936367775, 0.0, -0.12820536307300356, 0.0, 0.6913731993971306, 0.0, 0.4694761600300049]","True","0.010743510444110926","0.0011930280940914257"
"1024","101","1","0.0054877414859238","74.16622304916382","[0.019060255943966355, -0.0562569286937016, 0.08835964531289821, -0.11068924153123198, 0.12320445391687494, -0.12498712091760855, 0.11391577950326162, -0.09425776560835045, 0.06659327221368416, -0.03594730220894986, 0.004502309527318649, 0.0233259322197365, -0.04434613597521501, 0.05618912955157975, -0.05824399278715524, 0.05075626567872908, -0.03498957036095308, 0.013909093586178933, 0.008868320762880027, -0.02935688059147692, 0.04405779692259347, -0.05052657577477843, 0.04740717423045832, -0.0351026772335606, 0.015613635423048456, 0.007351405865550882, -0.02943768606977648, 0.04612543389638171, -0.053949266618749936, 0.050648668822205464, -0.03589660816799935, 0.011828032631629747, 0.017135738953986453, -0.04438590732695786, 0.06335948382690568, -0.06816311357191511, 0.055942988675106865, -0.026591426795702956, -0.01444270846061087, 0.05809569223084901, -0.09182515551647735, 0.10211870250522329, -0.07883065305258576, 0.01864604904955225, 0.06898979430990575, -0.1577585014478396, 0.20215737241517698, -0.1353022325095892, -0.12929501682366987, 0.6914955126557496, 0.4709244400230975]","[0.0, 0.019430430683530467, 0.0, -0.056401520429100016, 0.0, 0.08790788008234962, 0.0, -0.11095512207189517, 0.0, 0.12344990344929119, 0.0, -0.12441992430922004, 0.0, 0.11414099576269768, 0.0, -0.0941088393055757, 0.0, 0.06687474273408892, 0.0, -0.03576510648238831, 0.0, 0.0045019301954300935, 0.0, 0.023234376049996727, 0.0, -0.04426657895072257, 0.0, 0.05632199685728197, 0.0, -0.0583433421247407, 0.0, 0.050634408282168045, 0.0, -0.03486828993077894, 0.0, 0.013861845115135496, 0.0, 0.008792126479011697, 0.0, -0.02926162116494859, 0.0, 0.044028770741704075, 0.0, -0.050482017702724216, 0.0, 0.04737624201242401, 0.0, -0.035113389356936586, 0.0, 0.015762903773345688, 0.0, 0.007193985205602082, 0.0, -0.029391801940656298, 0.0, 0.046323196397056225, 0.0, -0.054186680330334774, 0.0, 0.05070719572625331, 0.0, -0.0357486026634793, 0.0, 0.011606878937299444, 0.0, 0.01715334569818643, 0.0, -0.044346426647827106, 0.0, 0.0632887344031226, 0.0, -0.06822320811205818, 0.0, 0.05584376506236352, 0.0, -0.02659696262337416, 0.0, -0.014540255274760043, 0.0, 0.058182757145878075, 0.0, -0.09176653806884719, 0.0, 0.1020237445570141, 0.0, -0.07860063954593452, 0.0, 0.018545565426922622, 0.0, 0.06885821109070808, 0.0, -0.15765350455688296, 0.0, 0.20199888148876138, 0.0, -0.13507600314867796, 0.0, -0.1291539118372219, 0.0, 0.690760140767539, 0.0, 0.47045995159884335]","True","0.00597100733620895","0.0055986586664312854"
"2048","101","1","0.002592858348938","89.8780448436737","[0.019451008022539417, -0.056423142352628484, 0.0878628074912285, -0.1108625519887324, 0.12337025215981429, -0.12438613296760938, 0.11412599581959318, -0.09409967263162679, 0.06688839350882915, -0.035831372609551014, 0.004592524172339286, 0.02315079483518519, -0.0442295801671803, 0.05631009821425124, -0.058319315259309445, 0.050635009292201605, -0.034934091683589116, 0.014026459017295554, 0.00861668628521423, -0.029133335184274987, 0.043967691030991664, -0.05046768492467464, 0.04746531325251941, -0.03524322793385159, 0.015909709023906576, 0.007129829202158645, -0.029319458562773393, 0.046220000692123474, -0.05416600569262702, 0.050811424613460617, -0.03597410204550829, 0.01183179490704533, 0.016927470280442832, -0.04414997459371107, 0.06315904127345637, -0.06835558964029119, 0.05598816971110606, -0.026990135468926632, -0.0142321183745493, 0.05783887073737695, -0.09170371563319571, 0.10235740109993982, -0.07907401139990639, 0.019212596554474166, 0.06824908660788451, -0.15752882932568557, 0.2024727452885021, -0.13608222420271318, -0.12817912095747278, 0.6915169276705672, 0.4695972420192371]","[0.0, 0.019416912646142617, 0.0, -0.056362446510174, 0.0, 0.08784883534703307, 0.0, -0.11088790029583258, 0.0, 0.12338403971053022, 0.0, -0.124369551261006, 0.0, 0.1141134292775806, 0.0, -0.0941118243256876, 0.0, 0.06690885429396085, 0.0, -0.03582572693617474, 0.0, 0.004577331056296529, 0.0, 0.023157289576279702, 0.0, -0.04420292664077898, 0.0, 0.05628867555920176, 0.0, -0.058348925780318896, 0.0, 0.050683049833160694, 0.0, -0.03495443942019305, 0.0, 0.013975004254349221, 0.0, 0.008671082516029811, 0.0, -0.029152617409318633, 0.0, 0.043955237496421974, 0.0, -0.05045923768452264, 0.0, 0.047411368375988104, 0.0, -0.035202335437850854, 0.0, 0.01589171448856516, 0.0, 0.007052250801964767, 0.0, -0.029273131405381403, 0.0, 0.0462563502471566, 0.0, -0.0541994389211256, 0.0, 0.0508094922731122, 0.0, -0.03593483145559974, 0.0, 0.011844624247279348, 0.0, 0.016911478007049036, 0.0, -0.044158766996131305, 0.0, 0.06320756763445556, 0.0, -0.06828702160980113, 0.0, 0.05605378592921027, 0.0, -0.026914776669531695, 0.0, -0.01419889814563402, 0.0, 0.05792531673194982, 0.0, -0.09170527699773301, 0.0, 0.10223294952531031, 0.0, -0.07908005594676787, 0.0, 0.01918342820257398, 0.0, 0.06828680375697682, 0.0, -0.15744044395012102, 0.0, 0.20239324102413161, 0.0, -0.13606881791703435, 0.0, -0.12814568841678992, 0.0, 0.69133556218459, 0.0, 0.4694985185419408]","True","0.0010233523192697547","0.0008162761900393726"
"4096","101","1","0.0004874248236428","79.33600211143494","[0.01940984519945634, -0.056345493307759134, 0.08784732484426978, -0.11088366025983386, 0.12336652917614946, -0.12435264479750088, 0.11412422188627984, -0.09412948280454052, 0.06691755887476927, -0.03582158038845498, 0.004583707277183179, 0.023147808404533378, -0.04419674144133877, 0.056286801895164315, -0.058342884266537956, 0.05067303355042568, -0.034968487771575185, 0.01400846506322353, 0.008641428753171325, -0.029142538416221865, 0.043942264606996045, -0.05046605690203133, 0.047409222144293814, -0.03523882382276936, 0.015895227251533507, 0.007029538072871208, -0.029260143255046396, 0.04623289757311891, -0.05419941354153829, 0.050829103208522616, -0.03594716418918873, 0.011902232273788638, 0.016859070285370925, -0.0441427529181918, 0.06319539684897073, -0.06829836376676472, 0.05607950970025851, -0.02696615739784383, -0.014118541275276366, 0.05787881584219324, -0.09170043507974322, 0.1022683386821378, -0.07917869461080788, 0.019296530293027796, 0.06821183043024308, -0.15740349270879656, 0.2024597845818627, -0.13625773104530717, -0.12799147825458865, 0.6914883106036089, 0.46936784973144047]","[0.0, 0.019416458829973043, 0.0, -0.05635826949624871, 0.0, 0.08783766981576947, 0.0, -0.11087526808013733, 0.0, 0.12337728948523646, 0.0, -0.12436507749543113, 0.0, 0.11410998789692432, 0.0, -0.09411246186078445, 0.0, 0.06691791236174119, 0.0, -0.03583683307587797, 0.0, 0.004586391547284074, 0.0, 0.023148409670728745, 0.0, -0.04419249527335558, 0.0, 0.056282819682466276, 0.0, -0.058352439438973835, 0.0, 0.05069295787849873, 0.0, -0.03496503480331062, 0.0, 0.013990357246393161, 0.0, 0.008650295258937941, 0.0, -0.029133652108540218, 0.0, 0.04394581495837362, 0.0, -0.05045796198503277, 0.0, 0.04741495443731279, 0.0, -0.035215651899637934, 0.0, 0.015915563634410136, 0.0, 0.007026526131555115, 0.0, -0.02925393294281854, 0.0, 0.046246269469179535, 0.0, -0.054198005111738, 0.0, 0.050824528823116916, 0.0, -0.03596817192454024, 0.0, 0.011886242267285357, 0.0, 0.01687427721760945, 0.0, -0.044130503927030204, 0.0, 0.06319294935540151, 0.0, -0.06829619188146228, 0.0, 0.056091933197425406, 0.0, -0.026970712112676515, 0.0, -0.014143492336576502, 0.0, 0.05788386667172109, 0.0, -0.09169134791344594, 0.0, 0.10226427532153384, 0.0, -0.07916101645494769, 0.0, 0.01929138675485776, 0.0, 0.06819203259845141, 0.0, -0.15740381425353628, 0.0, 0.20245370480025437, 0.0, -0.13623197599723486, 0.0, -0.1279738903196726, 0.0, 0.6914396429897167, 0.0, 0.46932765967499585]","True","0.0001798606981912032","0.00011399635366982075"
"8192","101","1","9.4072174437749e-05","76.32892680168152","[0.01940956247116931, -0.05635872585908261, 0.08783601469538471, -0.1108789112128051, 0.12337492195418202, -0.1243621262684504, 0.11411388056805763, -0.09411783193234322, 0.06691476411109074, -0.035834284589273575, 0.004584425492713919, 0.023141551467552236, -0.044192834764617946, 0.05628742971710526, -0.058349125969582555, 0.05069279443846058, -0.03497008664606155, 0.01399496942731944, 0.008651734682996924, -0.0291411955259886, 0.043943713391594134, -0.050453112910174625, 0.04742075107631594, -0.03521786425903736, 0.015911195175359275, 0.00702879115427798, -0.02925196801107804, 0.04624418508138155, -0.05420283142986895, 0.05083008549197781, -0.0359629188212142, 0.011882161875037182, 0.01687193684230754, -0.044128814579577715, 0.06319511050016406, -0.06829762653180149, 0.05608987826818262, -0.026965633632863025, -0.014142380621635102, 0.057879846089034494, -0.09169409750960195, 0.10227128488226611, -0.07915504236243372, 0.019288877659595992, 0.06818702189666344, -0.15740414838485037, 0.20246185515984724, -0.13623471830752054, -0.12798090108291743, 0.6914503975448338, 0.4693375940092366]","[0.0, 0.01941345439450592, 0.0, -0.05635506129898943, 0.0, 0.08784097727997364, 0.0, -0.11087914014302677, 0.0, 0.12337490194377333, 0.0, -0.12436195660276719, 0.0, 0.11411304814709754, 0.0, -0.09411532045293469, 0.0, 0.06691488016075875, 0.0, -0.03583361499562848, 0.0, 0.004589250667544665, 0.0, 0.02314610921738187, 0.0, -0.04419601628223607, 0.0, 0.05628608075589292, 0.0, -0.05834900900323949, 0.0, 0.05069004925315706, 0.0, -0.034968189372482916, 0.0, 0.013993880001512343, 0.0, 0.008654045621463501, 0.0, -0.029136703702283162, 0.0, 0.04394270882234927, 0.0, -0.05045465394613466, 0.0, 0.04741775975106474, 0.0, -0.03521793081582801, 0.0, 0.015912188893230317, 0.0, 0.007030418635510542, 0.0, -0.029250764653817752, 0.0, 0.046243983286507556, 0.0, -0.054201513412333285, 0.0, 0.050827463267708456, 0.0, -0.03596412510392913, 0.0, 0.011882775986293167, 0.0, 0.016871069530990684, 0.0, -0.044126960668765654, 0.0, 0.06319628981483545, 0.0, -0.0682990130068084, 0.0, 0.056087721675771494, 0.0, -0.026966011629621006, 0.0, -0.014141262623187139, 0.0, 0.05788122756262485, 0.0, -0.0916949283147265, 0.0, 0.1022673709509093, 0.0, -0.07915699126265752, 0.0, 0.019287450401369987, 0.0, 0.06818923052194703, 0.0, -0.15740136923452774, 0.0, 0.2024562547491351, 0.0, -0.1362331713926931, 0.0, -0.12797874090629469, 0.0, 0.6914407364602636, 0.0, 0.46933014085070085]","True","4.039033492975186e-05","1.4844038866824658e-05"
"16384","101","1","1.8797993353564467e-05","161.4701669216156","[0.019414472941399693, -0.0563554009457739, 0.08784013268211903, -0.11087918773457679, 0.12337518682586877, -0.12436249808067731, 0.11411297224612965, -0.09411478564976243, 0.0669153546167791, -0.03583434473833985, 0.004589840316485481, 0.023145479039083823, -0.044196502038059256, 0.056286612809410254, -0.05834977678352872, 0.05069055507920269, -0.034968231094045794, 0.013993356624387549, 0.008654456058247866, -0.029136484032830517, 0.04394182126957975, -0.05045461768661766, 0.04741723878436524, -0.035218653279131366, 0.015913473893340923, 0.007030673355238847, -0.02925106120542157, 0.046243756109515644, -0.05420208823743035, 0.05082709029057016, -0.03596434386771274, 0.011883510690483264, 0.016870996855335708, -0.0441266022500069, 0.06319614271380623, -0.06829871291634441, 0.056088170445287314, -0.0269662600329099, -0.01414114488661458, 0.05787961204432843, -0.09169502387685027, 0.10226835746840199, -0.07915864103649661, 0.019287967189169454, 0.06818919820203005, -0.15740187714887885, 0.20245767252177121, -0.13623523364054343, -0.12797818366085437, 0.6914441738259398, 0.46933137035787764]","[0.0, 0.01941233404909505, 0.0, -0.05635547290149949, 0.0, 0.08784104762547255, 0.0, -0.1108785414664119, 0.0, 0.12337501357981323, 0.0, -0.12436225674108517, 0.0, 0.11411283181444024, 0.0, -0.09411582777031699, 0.0, 0.06691451433854051, 0.0, -0.0358347196546033, 0.0, 0.004589243995211172, 0.0, 0.023145717119985247, 0.0, -0.04419644569942867, 0.0, 0.05628571299055818, 0.0, -0.058349064827857816, 0.0, 0.05069032814952582, 0.0, -0.034968771389845596, 0.0, 0.013993348575747189, 0.0, 0.008652727929751339, 0.0, -0.029137219242440244, 0.0, 0.043942301295044416, 0.0, -0.050454721851094786, 0.0, 0.047417288077230814, 0.0, -0.0352185761163613, 0.0, 0.015911973439609595, 0.0, 0.007029214932921454, 0.0, -0.029250993805067405, 0.0, 0.046243548024687345, 0.0, -0.054201867382999216, 0.0, 0.05082726152211624, 0.0, -0.03596531952611397, 0.0, 0.01188220188797711, 0.0, 0.016869555693637968, 0.0, -0.04412720484635481, 0.0, 0.0631959645599239, 0.0, -0.06829945135269191, 0.0, 0.05608771870909826, 0.0, -0.026966899699758455, 0.0, -0.014141861957194845, 0.0, 0.05788052159303415, 0.0, -0.09169584969989182, 0.0, 0.10226652383208339, 0.0, -0.07915803446201894, 0.0, 0.019286843476635368, 0.0, 0.06818860359208137, 0.0, -0.15740191242463453, 0.0, 0.20245650511939955, 0.0, -0.13623492201041293, 0.0, -0.1279791070001745, 0.0, 0.6914388805558845, 0.0, 0.4693305109807554]","True","1.3821562587335023e-05","2.676275857949051e-05"
"32768","101","1","6.210349868335894e-06","104.95431089401244","[0.01941319248322955, -0.05635516477220757, 0.08784124424338707, -0.1108786983740041, 0.12337473155201388, -0.12436243667025815, 0.11411319954197201, -0.09411539311736059, 0.06691494688352732, -0.03583407686498353, 0.004589490454160788, 0.023145941945321383, -0.044195907062516596, 0.05628602751029565, -0.058348904854110525, 0.050690397380694405, -0.03496880269528421, 0.013993914715772472, 0.00865330630118391, -0.02913638653034757, 0.04394241042583225, -0.05045458593460321, 0.04741809016171186, -0.035218225617434616, 0.015912393804429246, 0.007029736279901945, -0.029250515838766953, 0.046243699475014964, -0.05420144648424095, 0.05082764290559624, -0.03596496737144361, 0.011883404998253301, 0.016869977000736777, -0.04412636971555581, 0.0631958880973228, -0.06829912487769409, 0.056088226688401306, -0.026966990413490443, -0.01413995547647227, 0.0578805926878303, -0.09169455047203713, 0.1022679879612565, -0.07915867410535066, 0.01928975854345054, 0.06818801066133429, -0.1574011266494955, 0.20245818847485547, -0.13623653039320807, -0.1279758130670247, 0.6914436789739348, 0.4693284679977221]","[0.0, 0.019413274007775053, 0.0, -0.0563549811349228, 0.0, 0.0878415109638849, 0.0, -0.1108786349318233, 0.0, 0.12337520947500548, 0.0, -0.12436216816755771, 0.0, 0.1141135430749654, 0.0, -0.09411530477194816, 0.0, 0.06691524866555504, 0.0, -0.03583415006474594, 0.0, 0.004589848255133642, 0.0, 0.023145948271669284, 0.0, -0.0441958783124627, 0.0, 0.05628606954059472, 0.0, -0.058348877241586536, 0.0, 0.05069045003176115, 0.0, -0.03496855309529148, 0.0, 0.013994291355958392, 0.0, 0.00865358690618439, 0.0, -0.02913637137231337, 0.0, 0.04394257361387499, 0.0, -0.0504541898686196, 0.0, 0.04741815842053827, 0.0, -0.03521804820589616, 0.0, 0.015912571384923156, 0.0, 0.007029832881500246, 0.0, -0.029250261825315968, 0.0, 0.04624396106848985, 0.0, -0.05420146634264218, 0.0, 0.05082779434840069, 0.0, -0.03596455385734043, 0.0, 0.011883393525780155, 0.0, 0.016870126349343654, 0.0, -0.044126365859660996, 0.0, 0.06319592614682612, 0.0, -0.06829919201104451, 0.0, 0.05608783536443362, 0.0, -0.026967169163294755, 0.0, -0.014140768238853539, 0.0, 0.057880245407870554, 0.0, -0.09169544238073737, 0.0, 0.10226701392925724, 0.0, -0.0791586944184085, 0.0, 0.019288399168958307, 0.0, 0.06818741265239678, 0.0, -0.1574018587308758, 0.0, 0.20245699154251473, 0.0, -0.13623686321724016, 0.0, -0.12797754219603497, 0.0, 0.691440692469317, 0.0, 0.46932829828987327]","True","3.0431615178905247e-06","1.4298091474129748e-05"
