"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json"
"101","101","1","inf","307.49862408638","[0.012562291888159714, -0.04501219838838283, 0.07931553574618264, -0.1055253033137064, 0.1269558180636324, -0.13173212218677582, 0.11813675250539067, -0.10195519191170871, 0.07688260163617766, -0.04064231755393042, 0.00532387630860099, 0.033539506500320775, -0.06585878558487192, 0.07170750266952457, -0.06347426831358466, 0.047772030612203926, -0.02157081433847876, 0.0029014244670892584, 0.013069876200357121, -0.0394967304769195, 0.05443644400756616, -0.05495705455146751, 0.04987686243626516, -0.02393712801964171, -0.004601553413016373, 0.015484351265945367, -0.03423370737785314, 0.053811531231363126, -0.057607578979514996, 0.06343105645554327, -0.04346438676146712, -0.016320858082127288, 0.0598854693961734, -0.08412569293687792, 0.09390911581743239, -0.050431715189393406, 0.004711689450163815, 0.010835897084706352, -0.06211163915121247, 0.10479369659263257, -0.09775157131142313, 0.10165678514217771, -0.01932838733737771, -0.16120510130272095, 0.20140956106362973, -0.15177594073406914, 0.06941424832107676, 0.3324187932085301, -0.5134578505099863, -0.6609044004589252, -0.15169711597799576]","[0.0, 0.020982438594426427, 0.0, -0.05955935045940379, 0.0, 0.09137703247748893, 0.0, -0.11484743454631835, 0.0, 0.12658002994823653, 0.0, -0.12694746823954606, 0.0, 0.11618171335019208, 0.0, -0.09384108388350182, 0.0, 0.06417391459152325, 0.0, -0.03151552862376667, 0.0, -0.0015626477736016646, 0.0, 0.02926686348352597, 0.0, -0.048521231605247156, 0.0, 0.05966886865464537, 0.0, -0.0598566414832722, 0.0, 0.04914984571013564, 0.0, -0.0305474658529817, 0.0, 0.005701004141704279, 0.0, 0.01977310073225967, 0.0, -0.038618035181134276, 0.0, 0.05062016687234004, 0.0, -0.05312725902704124, 0.0, 0.04415615178318996, 0.0, -0.027234515825559937, 0.0, 0.004262952583990517, 0.0, 0.022913851621399958, 0.0, -0.04444978448066776, 0.0, 0.05692873967849249, 0.0, -0.05787943066140912, 0.0, 0.04305798446549649, 0.0, -0.017061877710366977, 0.0, -0.011819131682264962, 0.0, 0.04340091525040429, 0.0, -0.06681484650637878, 0.0, 0.07311973867527598, 0.0, -0.06207620112665284, 0.0, 0.02971202042797934, 0.0, 0.020929148017478794, 0.0, -0.06777124731512046, 0.0, 0.10142467574387157, 0.0, -0.10840839162383212, 0.0, 0.06862839816221042, 0.0, 0.010401189359435323, 0.0, -0.10478452012818588, 0.0, 0.18620744714106655, 0.0, -0.17945188363576975, 0.0, 0.018432239474497233, 0.0, 0.28831409871372926, 0.0, -0.47731760031588344, 0.0, -0.6154172880602953, 0.0, -0.1411823852599418]"
"128","101","1","1.222629217601278","358.22364592552185","[0.015401958176817505, -0.05425115302904861, 0.08068172259294543, -0.10935380800226263, 0.11970015771411309, -0.12162528327840667, 0.1084059229880304, -0.11299975430283349, 0.07416544380014889, -0.00449113194083327, 0.015904557123689166, -0.010714365643725784, -0.05114369434316511, 0.05632569190611266, -0.08001059455137166, 0.0648672634137724, -0.0273902528748981, 0.017548012301658186, 0.028708709971585283, -0.022581334148423896, 0.0524638066289696, -0.03626343026329777, 0.05157066244216556, -0.028201956666488854, 0.03292366585454645, 0.006267252288798969, -0.022972075935013558, 0.05618790625659231, -0.05844376133005426, 0.05602877655255235, -0.04106435167630026, 0.020253139485148133, 0.021565780705727844, -0.05427179008167264, 0.07219046668023611, -0.0744141540146884, 0.05994928551583744, -0.02911315011288818, -0.023580436176424354, 0.06336068031800993, -0.11474931419947572, 0.09857019754325595, -0.10265281264714238, -0.02903983131645999, 0.03189359147180837, -0.2918165245318257, 0.04835218601608195, -0.40680208840984833, -0.7435503150543181, 0.11824128644525796, 0.28937725641157414]","[0.0, 0.01999172882457663, 0.0, -0.055426706857031265, 0.0, 0.08795191045026576, 0.0, -0.10918741031110415, 0.0, 0.12329653821751509, 0.0, -0.12302723521170704, 0.0, 0.11420372444892293, 0.0, -0.09304224410113854, 0.0, 0.0673181754934227, 0.0, -0.03656683360500959, 0.0, 0.0048443272868720294, 0.0, 0.023717054392253953, 0.0, -0.04436222012552368, 0.0, 0.05614807647396842, 0.0, -0.05791406692746086, 0.0, 0.05062275289805267, 0.0, -0.03512141495516015, 0.0, 0.014122057784920981, 0.0, 0.008980699587670608, 0.0, -0.02914827054412864, 0.0, 0.04536249198197155, 0.0, -0.05101835757346916, 0.0, 0.04895052024023067, 0.0, -0.03506959770328548, 0.0, 0.01517345990589725, 0.0, 0.008302273248663946, 0.0, -0.030756080863629645, 0.0, 0.04764627888578393, 0.0, -0.05504503239476054, 0.0, 0.052297384490304105, 0.0, -0.03538507983886108, 0.0, 0.009662297658101298, 0.0, 0.01957574043825263, 0.0, -0.0468761259872824, 0.0, 0.06620655533712194, 0.0, -0.07030216065215017, 0.0, 0.05444820412905296, 0.0, -0.024609890071475973, 0.0, -0.022465755495479682, 0.0, 0.060739138605880295, 0.0, -0.10379074241969588, 0.0, 0.09158205080595774, 0.0, -0.09308466014388153, 0.0, -0.028020730402798455, 0.0, 0.029762278458538925, 0.0, -0.27139641004351495, 0.0, 0.03951020342554849, 0.0, -0.3768676464240628, 0.0, -0.6992595825340717, 0.0, 0.10836974001412654, 0.0, 0.2752067962160601]"
"256","101","1","0.17951980341328858","305.65464305877686","[0.019891880071460498, -0.05788049822577628, 0.0908798183482861, -0.1109700004638205, 0.1251710023111115, -0.12216230535426423, 0.11170304306862394, -0.09055751946197817, 0.07189739760838974, -0.03654322692214618, 0.006676900621815342, 0.024718090774834178, -0.043168639111116444, 0.06237483622608274, -0.0605194258935295, 0.05115361379819907, -0.032969611573948614, 0.00982961559888965, 0.009056828595454149, -0.03188620112161743, 0.042433727791917744, -0.05166613130589323, 0.05035225630975698, -0.03332369043002141, 0.016101501679685264, 0.014019362244928857, -0.036181943388247734, 0.04020208475175392, -0.05320491470210208, 0.05515235495796879, -0.03389927269060382, 0.005821979808923192, 0.019281663830424643, -0.04677224774203498, 0.06639157072407839, -0.06990390653293165, 0.05395746682162033, -0.022573375140625192, -0.022529791216440942, 0.06585080566152854, -0.10152490572740668, 0.1005008946068318, -0.08011066399833265, -0.01510402183202867, 0.06338564211684068, -0.2451857774841878, 0.08464989680019222, -0.3386956129219765, -0.7613325558134749, 0.00410063985890478, 0.23494767946123404]","[0.0, 0.019635557859882854, 0.0, -0.05668454277945451, 0.0, 0.08827463177945359, 0.0, -0.11139094305565023, 0.0, 0.12379109188625803, 0.0, -0.12474061366548399, 0.0, 0.11449368849616268, 0.0, -0.09412725586861283, 0.0, 0.06663082482892368, 0.0, -0.03514874315497339, 0.0, 0.004020165281094762, 0.0, 0.024208774528389435, 0.0, -0.044942850365628464, 0.0, 0.05712062728076573, 0.0, -0.05872876478436098, 0.0, 0.050533458202135485, 0.0, -0.03429334203195486, 0.0, 0.012711795815795124, 0.0, 0.010082741584832071, 0.0, -0.030671165147622338, 0.0, 0.04511374361052757, 0.0, -0.051172052431628395, 0.0, 0.04747277514191836, 0.0, -0.03419126431922556, 0.0, 0.014342549426753351, 0.0, 0.009386139193844316, 0.0, -0.03150497312179369, 0.0, 0.04833211502386482, 0.0, -0.055225493051066485, 0.0, 0.050605315616306525, 0.0, -0.03400083765692151, 0.0, 0.008520192707129774, 0.0, 0.0213394546101937, 0.0, -0.04850920257131938, 0.0, 0.0663065841545674, 0.0, -0.06886197651987627, 0.0, 0.053383871996696385, 0.0, -0.021151410758614996, 0.0, -0.02325589835931261, 0.0, 0.06595488465708504, 0.0, -0.10031336450814207, 0.0, 0.09880451743523183, 0.0, -0.07820146192326619, 0.0, -0.015098167918589617, 0.0, 0.06323915937680519, 0.0, -0.24247241257588034, 0.0, 0.08284117680655502, 0.0, -0.33384599071806226, 0.0, -0.7514641329222556, 0.0, 0.0031117304750311135, 0.0, 0.23202440359798038]"
"512","101","1","0.9978429000287504","333.1400640010834","[0.019654036738016866, -0.05627559534316103, 0.08726672583758606, -0.11070415071697048, 0.12316480926670836, -0.12425820191493396, 0.1142677965573779, -0.09350191804457003, 0.06718779806080778, -0.03587579608722641, 0.005110105571073304, 0.022644509763581063, -0.04444121701868565, 0.05685760304010958, -0.058946665804576553, 0.05020339742554388, -0.034179323427449296, 0.014221868917978239, 0.007931305757948337, -0.029012715755056706, 0.04449257458480184, -0.050486665362576684, 0.04682833134734713, -0.03583716913200331, 0.01704066734847357, 0.00806622297827305, -0.0297532013741642, 0.04500738098587005, -0.056175876336067354, 0.04970200430095782, -0.036529085149338635, 0.01133904092427327, 0.017174994425903013, -0.04414616887189502, 0.06320451138475316, -0.06816200840828779, 0.05596406570398547, -0.026898377393620766, -0.014146412011742692, 0.05773262486306428, -0.09162667647585794, 0.1023557174384778, -0.0792052227032011, 0.019360236211724523, 0.06811894154811765, -0.15760750438533364, 0.20276869432066366, -0.13665817195357932, -0.12807258096228633, 0.6931932768058326, 0.47064045304521207]","[0.0, 0.01931554668184198, 0.0, -0.05625758764750267, 0.0, 0.08779540695451575, 0.0, -0.11066892371473855, 0.0, 0.12320761812198816, 0.0, -0.12428520273784915, 0.0, 0.11401205191447371, 0.0, -0.09415635886881318, 0.0, 0.06672287803398902, 0.0, -0.03583578848840758, 0.0, 0.004590777462005558, 0.0, 0.023054212593890247, 0.0, -0.04425026593360917, 0.0, 0.056257042026078626, 0.0, -0.05831376016676225, 0.0, 0.05053511435866617, 0.0, -0.03487237824504552, 0.0, 0.014048110437052615, 0.0, 0.008596767309118026, 0.0, -0.029128093593323766, 0.0, 0.0439630500571833, 0.0, -0.050418442362301426, 0.0, 0.047311450162421706, 0.0, -0.03526233748473608, 0.0, 0.016101459719399393, 0.0, 0.0070789014810679896, 0.0, -0.029337077309860363, 0.0, 0.04617909466128159, 0.0, -0.054362077321378585, 0.0, 0.05071025469232487, 0.0, -0.03599360051450489, 0.0, 0.011782505662119497, 0.0, 0.016941874911562495, 0.0, -0.04420057580420264, 0.0, 0.06321358127841174, 0.0, -0.06829922193263668, 0.0, 0.056004480663216755, 0.0, -0.026848233181143676, 0.0, -0.014201315895862024, 0.0, 0.05783931869171749, 0.0, -0.09160248359707285, 0.0, 0.10219515633954149, 0.0, -0.07911087231118114, 0.0, 0.019210596364525327, 0.0, 0.06826191823194222, 0.0, -0.15736322531273356, 0.0, 0.20231814685893865, 0.0, -0.13602484458620734, 0.0, -0.1281253804107957, 0.0, 0.6912572244792781, 0.0, 0.4693155181278883]"
"1024","101","1","0.00548232962423859","307.18842697143555","[0.019041195686450102, -0.056200671770601486, 0.08827128562731996, -0.11057855236429136, 0.12308124940010111, -0.12486213378832282, 0.11380186380588017, -0.0941635077989431, 0.06652667889958386, -0.03591135497009907, 0.004497807182033917, 0.023302606286305438, -0.04430178985292912, 0.05613294040616674, -0.05818574878017881, 0.05070550940328431, -0.034954580837408884, 0.013895184456920841, 0.008859452432810309, -0.02932752371037252, 0.04401373911186296, -0.05047604923522076, 0.04735976702054509, -0.03506757460060727, 0.01559802175013672, 0.007344054455091895, -0.029408248400216993, 0.04607930844645612, -0.053895317356930976, 0.05059802012593005, -0.03586071160022357, 0.011816204569876842, 0.01711860322054919, -0.044341521394164266, 0.06329612436514113, -0.06809495047141463, 0.05588704565207777, -0.026564835383553538, -0.014428265747056853, 0.05803759656803767, -0.09173333036717776, 0.10201658377683041, -0.0787518224367108, 0.01862740295053006, 0.06892080454776348, -0.1576007429959157, 0.20195521499340208, -0.13516693017872256, -0.1291657220419331, 0.6908040166293293, 0.4704535153570487]","[0.0, 0.019247169872436166, 0.0, -0.0562623937088775, 0.0, 0.08799745660995459, 0.0, -0.11074361018881387, 0.0, 0.12324080028829784, 0.0, -0.12454737817925893, 0.0, 0.11392828045185488, 0.0, -0.09411491560094111, 0.0, 0.06668042116186969, 0.0, -0.03582268614789792, 0.0, 0.0044765879773064725, 0.0, 0.023280931715268124, 0.0, -0.0442409703145991, 0.0, 0.056199267792595514, 0.0, -0.0582523290929956, 0.0, 0.050664940867216256, 0.0, -0.03494897841579455, 0.0, 0.01382336731013132, 0.0, 0.008896243014377457, 0.0, -0.029278312881084283, 0.0, 0.043978244147867565, 0.0, -0.050395102180556525, 0.0, 0.047376227707896984, 0.0, -0.03505533506372024, 0.0, 0.015673987170610845, 0.0, 0.007257132414286421, 0.0, -0.029334357385979812, 0.0, 0.046166376465111666, 0.0, -0.05405129477284258, 0.0, 0.050659445478035435, 0.0, -0.03577885185382511, 0.0, 0.011688130851058864, 0.0, 0.017076141523118038, 0.0, -0.04433657091401206, 0.0, 0.06325265361602089, 0.0, -0.06822302184379889, 0.0, 0.05574332690906782, 0.0, -0.026628334621001927, 0.0, -0.014471211322115565, 0.0, 0.05809076543376485, 0.0, -0.09169850999421514, 0.0, 0.10203029793591131, 0.0, -0.07860044466868807, 0.0, 0.018585897047671475, 0.0, 0.06876442100064914, 0.0, -0.1576143163460935, 0.0, 0.2019591926240467, 0.0, -0.13501260561993988, 0.0, -0.1290899691854677, 0.0, 0.6905000139898687, 0.0, 0.4702445127855162]"
"2048","101","1","0.0025902656921634815","296.94979310035706","[0.01943155700359618, -0.05636671922125071, 0.08777494468089143, -0.11075168944416847, 0.1232468819084274, -0.12426174680715768, 0.11401186983775877, -0.09400557296186969, 0.06682150511827156, -0.03579554125566355, 0.004587931597914318, 0.02312764401913068, -0.0441853505675918, 0.056253788143557734, -0.05826099587348605, 0.050584374382244335, -0.034899157527204, 0.01401243259397246, 0.0086080696154426, -0.0291042018484107, 0.043923723349197495, -0.05041721718975815, 0.04741784802694796, -0.03520798457788586, 0.015893799421242746, 0.007122699413774528, -0.029290139081424017, 0.046173780664991705, -0.05411183976599575, 0.05076061313914307, -0.035938127927546276, 0.01181996314687339, 0.016910542841158255, -0.044105824566799706, 0.06309588223547521, -0.06828723406177876, 0.055932181513806765, -0.02696314538385857, -0.014217886234288919, 0.05778103190708771, -0.09161201185631841, 0.10225504369953899, -0.07899493741632044, 0.01919338400273367, 0.06818083751068944, -0.15737130036970512, 0.20227027252031846, -0.13594614220368384, -0.12805094116581026, 0.6908254119536794, 0.4691276452758009]","[0.0, 0.019431557003596132, 0.0, -0.05636671922125079, 0.0, 0.08777494468089138, 0.0, -0.1107516894441685, 0.0, 0.12324688190842736, 0.0, -0.12426174680715782, 0.0, 0.11401186983775874, 0.0, -0.09400557296186983, 0.0, 0.06682150511827165, 0.0, -0.03579554125566363, 0.0, 0.004587931597914349, 0.0, 0.02312764401913065, 0.0, -0.04418535056759181, 0.0, 0.05625378814355769, 0.0, -0.058260995873486154, 0.0, 0.05058437438224432, 0.0, -0.03489915752720402, 0.0, 0.014012432593972505, 0.0, 0.008608069615442596, 0.0, -0.029104201848410737, 0.0, 0.04392372334919748, 0.0, -0.050417217189758126, 0.0, 0.04741784802694797, 0.0, -0.035207984577885924, 0.0, 0.01589379942124282, 0.0, 0.00712269941377449, 0.0, -0.029290139081423867, 0.0, 0.04617378066499167, 0.0, -0.054111839765995755, 0.0, 0.0507606131391431, 0.0, -0.03593812792754642, 0.0, 0.011819963146873466, 0.0, 0.01691054284115824, 0.0, -0.04410582456679977, 0.0, 0.06309588223547527, 0.0, -0.06828723406177889, 0.0, 0.055932181513806724, 0.0, -0.02696314538385851, 0.0, -0.014217886234289018, 0.0, 0.057781031907087686, 0.0, -0.09161201185631845, 0.0, 0.10225504369953906, 0.0, -0.07899493741632041, 0.0, 0.019193384002733467, 0.0, 0.06818083751068985, 0.0, -0.15737130036970545, 0.0, 0.20227027252031812, 0.0, -0.13594614220368328, 0.0, -0.12805094116581112, 0.0, 0.6908254119536786, 0.0, 0.4691276452758026]"
"4096","101","1","0.00048693712605974994","294.1335458755493","[0.019390435332172253, -0.056289147745422055, 0.08775947755632911, -0.11077277661587007, 0.12324316267201481, -0.12422829211514068, 0.11401009763796385, -0.09403535339357966, 0.0668506413321835, -0.035785758740581916, 0.00457912350893216, 0.023124660437919713, -0.04415254474477241, 0.05623051516539784, -0.0582845414396456, 0.05062236032659025, -0.0349335193595441, 0.013994456573444756, 0.008632787171479236, -0.029113396028485065, 0.04389832238905641, -0.05041559067398069, 0.0473618131575912, -0.0352035847786159, 0.015879332128172326, 0.007022508542147627, -0.029230883084843135, 0.04618666470778581, -0.05414521425930527, 0.050778273811256464, -0.0359112173893964, 0.011890329732028844, 0.016842211094009532, -0.044098610176963156, 0.0631322015531685, -0.068230065379891, 0.056023430068932276, -0.026939191411362823, -0.01410442295729877, 0.0578209369520176, -0.09160873460130309, 0.10216607040554765, -0.07909951603069212, 0.019277233597186944, 0.0681436187290505, -0.15724608964145145, 0.20225732436007143, -0.13612147290932058, -0.1278634874391144, 0.690796820552171, 0.46889848109881854]","[0.0, 0.019390435332172204, 0.0, -0.056289147745422055, 0.0, 0.08775947755632899, 0.0, -0.11077277661586993, 0.0, 0.12324316267201468, 0.0, -0.12422829211514064, 0.0, 0.11401009763796374, 0.0, -0.09403535339357963, 0.0, 0.06685064133218352, 0.0, -0.03578575874058193, 0.0, 0.004579123508932194, 0.0, 0.023124660437919685, 0.0, -0.044152544744772405, 0.0, 0.056230515165397746, 0.0, -0.05828454143964569, 0.0, 0.05062236032659023, 0.0, -0.034933519359544155, 0.0, 0.01399445657344478, 0.0, 0.008632787171479214, 0.0, -0.029113396028485086, 0.0, 0.04389832238905633, 0.0, -0.05041559067398065, 0.0, 0.04736181315759123, 0.0, -0.03520358477861599, 0.0, 0.0158793321281724, 0.0, 0.007022508542147556, 0.0, -0.029230883084843, 0.0, 0.046186664707785735, 0.0, -0.05414521425930531, 0.0, 0.050778273811256505, 0.0, -0.03591121738939662, 0.0, 0.01189032973202893, 0.0, 0.01684221109400951, 0.0, -0.04409861017696325, 0.0, 0.06313220155316865, 0.0, -0.06823006537989101, 0.0, 0.056023430068932345, 0.0, -0.02693919141136278, 0.0, -0.014104422957298876, 0.0, 0.057820936952017885, 0.0, -0.0916087346013032, 0.0, 0.10216607040554757, 0.0, -0.07909951603069196, 0.0, 0.019277233597186583, 0.0, 0.06814361872905064, 0.0, -0.1572460896414517, 0.0, 0.2022573243600712, 0.0, -0.13612147290931986, 0.0, -0.12786348743911505, 0.0, 0.69079682055217, 0.0, 0.46889848109881993]"
"8192","101","1","9.397669518370556e-05","295.58267402648926","[0.019390151279272985, -0.05630236871185951, 0.08774817602310409, -0.11076803574520919, 0.12325154394840666, -0.12423776680177169, 0.11399976546287893, -0.09402371299771549, 0.06684785089456909, -0.03579844915393893, 0.0045798428262006285, 0.02311841082434472, -0.04414864316277609, 0.056231140070416255, -0.05829077916319706, 0.050642100638646124, -0.03493511444085606, 0.013980978514682859, 0.008643086701889756, -0.029112051996988367, 0.043899769825825254, -0.05040266137279887, 0.04737332813904796, -0.03518264867244915, 0.01589528309764215, 0.007021764092254493, -0.029222712697334723, 0.04619794369473382, -0.05414862793299736, 0.05077925460362378, -0.03592695608515261, 0.011870279605851401, 0.016855063040081542, -0.044084688507219784, 0.06313191426879293, -0.06822932694357815, 0.056033792591488725, -0.026938664838336693, -0.014128239253173977, 0.05782196264418348, -0.09160240474026857, 0.1021690155534574, -0.07907588327736029, 0.01926959239558545, 0.06811883316822563, -0.1572467496739046, 0.2022593897148362, -0.1360984850219724, -0.12785292013595187, 0.6907589483146883, 0.4688682570554766]","[0.0, 0.019390151279272915, 0.0, -0.05630236871185958, 0.0, 0.08774817602310399, 0.0, -0.11076803574520908, 0.0, 0.12325154394840657, 0.0, -0.12423776680177162, 0.0, 0.11399976546287884, 0.0, -0.09402371299771548, 0.0, 0.06684785089456904, 0.0, -0.03579844915393892, 0.0, 0.004579842826200662, 0.0, 0.023118410824344772, 0.0, -0.04414864316277613, 0.0, 0.05623114007041613, 0.0, -0.05829077916319714, 0.0, 0.05064210063864611, 0.0, -0.034935114440856146, 0.0, 0.013980978514682912, 0.0, 0.0086430867018897, 0.0, -0.02911205199698835, 0.0, 0.0438997698258252, 0.0, -0.05040266137279886, 0.0, 0.047373328139047974, 0.0, -0.035182648672449225, 0.0, 0.015895283097642116, 0.0, 0.007021764092254381, 0.0, -0.02922271269733451, 0.0, 0.04619794369473373, 0.0, -0.054148627932997365, 0.0, 0.05077925460362394, 0.0, -0.03592695608515275, 0.0, 0.011870279605851535, 0.0, 0.016855063040081577, 0.0, -0.04408468850721985, 0.0, 0.06313191426879311, 0.0, -0.06822932694357825, 0.0, 0.056033792591488815, 0.0, -0.026938664838336686, 0.0, -0.014128239253174, 0.0, 0.05782196264418367, 0.0, -0.0916024047402687, 0.0, 0.1021690155534575, 0.0, -0.07907588327736015, 0.0, 0.019269592395585157, 0.0, 0.06811883316822609, 0.0, -0.15724674967390484, 0.0, 0.2022593897148362, 0.0, -0.13609848502197172, 0.0, -0.12785292013595256, 0.0, 0.6907589483146875, 0.0, 0.4688682570554783]"
"16384","101","1","1.877966769940993e-05","319.6330511569977","[0.01939505847804432, -0.05629904553923943, 0.08775229255204067, -0.11076830854257254, 0.12325181164648061, -0.12423813557504, 0.11399885927899592, -0.09402067085841097, 0.06684843927052937, -0.03579851038496373, 0.004585250481400392, 0.023122333562591642, -0.04415230553233634, 0.056230326203350264, -0.05829142699807364, 0.050639864531496194, -0.034933262858232374, 0.013979363270981194, 0.008645801604380979, -0.029107347544693046, 0.043897879454386474, -0.05040416306161844, 0.04736982155486404, -0.035183434612600276, 0.015897560432634048, 0.007023642693569779, -0.029221810133486334, 0.04619751235840938, -0.054147886146668316, 0.05077626320402017, -0.03592837952144035, 0.011871627181592148, 0.016854125862622873, -0.044082475638518845, 0.06313294657950526, -0.06823041419381592, 0.05603208228126828, -0.026939293777793652, -0.014127003753998108, 0.05782173241586246, -0.09160332886728405, 0.10216608908984823, -0.07907948241656486, 0.01926867921166503, 0.06812100898829394, -0.15724447526847346, 0.20225521485178488, -0.1360989984228143, -0.12785020542348868, 0.6907527297522479, 0.4688620390294141]","[0.0, 0.019395058478044267, 0.0, -0.05629904553923942, 0.0, 0.08775229255204059, 0.0, -0.11076830854257246, 0.0, 0.12325181164648047, 0.0, -0.12423813557503999, 0.0, 0.11399885927899586, 0.0, -0.0940206708584109, 0.0, 0.06684843927052939, 0.0, -0.03579851038496381, 0.0, 0.004585250481400453, 0.0, 0.023122333562591607, 0.0, -0.044152305532336275, 0.0, 0.056230326203350146, 0.0, -0.05829142699807364, 0.0, 0.05063986453149616, 0.0, -0.034933262858232346, 0.0, 0.013979363270981239, 0.0, 0.008645801604380918, 0.0, -0.029107347544692973, 0.0, 0.043897879454386425, 0.0, -0.05040416306161835, 0.0, 0.04736982155486398, 0.0, -0.035183434612600345, 0.0, 0.015897560432634072, 0.0, 0.00702364269356967, 0.0, -0.029221810133486233, 0.0, 0.04619751235840933, 0.0, -0.05414788614666827, 0.0, 0.05077626320402021, 0.0, -0.03592837952144048, 0.0, 0.011871627181592207, 0.0, 0.016854125862622797, 0.0, -0.044082475638518956, 0.0, 0.06313294657950536, 0.0, -0.06823041419381601, 0.0, 0.056032082281268214, 0.0, -0.026939293777793437, 0.0, -0.01412700375399822, 0.0, 0.057821732415862526, 0.0, -0.09160332886728415, 0.0, 0.10216608908984817, 0.0, -0.07907948241656465, 0.0, 0.019268679211664797, 0.0, 0.06812100898829429, 0.0, -0.15724447526847346, 0.0, 0.20225521485178471, 0.0, -0.13609899842281348, 0.0, -0.12785020542348924, 0.0, 0.6907527297522469, 0.0, 0.46886203902941537]"
"32768","101","1","6.204272230896512e-06","336.7316608428955","[0.01939377868329698, -0.05629880996810187, 0.08775340290097186, -0.11076781953946786, 0.12325135688831725, -0.12423807439589042, 0.11399908624397284, -0.09402127778867767, 0.0668480317222882, -0.03579824312974857, 0.004584900589455736, 0.02312279595177037, -0.044151710619559414, 0.05622974226382928, -0.05829055541833537, 0.05063970709764876, -0.03493383407624197, 0.01397992062910157, 0.008644653192026843, -0.029107249789872447, 0.043898468010812305, -0.050404131509311466, 0.04737067222961692, -0.035183007120677685, 0.015896481615171997, 0.007022706429058741, -0.0292212659300001, 0.04619745539177595, -0.05414724493350853, 0.05077681532340858, -0.0359290024645848, 0.011871521450770842, 0.016853106747715917, -0.044082243592016485, 0.06313269211303438, -0.06823082595341824, 0.056032138146798735, -0.02694002376998177, -0.014125815829253154, 0.057822712252364024, -0.09160285544537015, 0.10216572015055785, -0.07907951564148073, 0.01927046886359634, 0.06811982304515181, -0.15724372601933598, 0.20225572968230512, -0.1361002939075514, -0.12784783871742084, 0.6907522329840448, 0.46885913860440376]","[0.0, 0.01939377868329693, 0.0, -0.05629880996810194, 0.0, 0.08775340290097176, 0.0, -0.11076781953946781, 0.0, 0.12325135688831718, 0.0, -0.12423807439589048, 0.0, 0.11399908624397276, 0.0, -0.09402127778867765, 0.0, 0.06684803172228826, 0.0, -0.035798243129748636, 0.0, 0.004584900589455766, 0.0, 0.02312279595177035, 0.0, -0.044151710619559366, 0.0, 0.05622974226382918, 0.0, -0.05829055541833536, 0.0, 0.0506397070976487, 0.0, -0.034933834076242024, 0.0, 0.013979920629101595, 0.0, 0.008644653192026832, 0.0, -0.029107249789872402, 0.0, 0.04389846801081217, 0.0, -0.050404131509311334, 0.0, 0.0473706722296169, 0.0, -0.03518300712067775, 0.0, 0.015896481615172018, 0.0, 0.0070227064290586255, 0.0, -0.029221265930000108, 0.0, 0.046197455391775985, 0.0, -0.05414724493350846, 0.0, 0.050776815323408594, 0.0, -0.03592900246458498, 0.0, 0.011871521450770882, 0.0, 0.016853106747715892, 0.0, -0.04408224359201658, 0.0, 0.06313269211303454, 0.0, -0.06823082595341824, 0.0, 0.056032138146798735, 0.0, -0.026940023769981763, 0.0, -0.014125815829253298, 0.0, 0.05782271225236427, 0.0, -0.09160285544537017, 0.0, 0.10216572015055769, 0.0, -0.07907951564148041, 0.0, 0.01927046886359611, 0.0, 0.06811982304515202, 0.0, -0.15724372601933603, 0.0, 0.20225572968230487, 0.0, -0.13610029390755085, 0.0, -0.1278478387174216, 0.0, 0.6907522329840439, 0.0, 0.4688591386044052]"
