"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated_coef","constraint_violated_rec","sup_diff","sup_diff_rec","max_abs_coef","max_abs_rec"
"101","101","1","inf","330.0737590789795","[0.012573721745420357, -0.04505269325732239, 0.07938680201609767, -0.10562043965047985, 0.12707029551914936, -0.13185085132296603, 0.11824336064009619, -0.1020469612559407, 0.07695165758214441, -0.040678832795615426, 0.005328503453075697, 0.03356965036320018, -0.06591762649003043, 0.07177199756589543, -0.06353168681304121, 0.04781515407622129, -0.02159036103138356, 0.0029042071210469414, 0.01308167264057541, -0.03953243954813779, 0.05448592873610609, -0.05500685259245503, 0.0499211828795619, -0.023957966267866726, -0.004605464971591021, 0.015497676745375638, -0.03426420646567041, 0.053860123013273455, -0.05765985005346955, 0.0634883297563505, -0.0435035125673969, -0.016335276461039126, 0.059939436220014186, -0.08420202560304364, 0.09399402976400667, -0.05047700026892746, 0.004715630670283747, 0.01084601699634896, -0.062167586031757, 0.10488785171641644, -0.09783955980943441, 0.10174826384787111, -0.01934566376314993, -0.16135007416091743, 0.20159085613045208, -0.1519128232494643, 0.06947675573602424, 0.332718303492078, -0.5139202166468564, -0.6614996234929996, -0.151833734658358]","[0.0, 0.0209383970747726, 0.0, -0.059423554232373936, 0.0, 0.09152715419998392, 0.0, -0.11494807183807898, 0.0, 0.12664133515175596, 0.0, -0.12685151152898597, 0.0, 0.11625819814172891, 0.0, -0.09395891759366665, 0.0, 0.06423228058460026, 0.0, -0.031400129442058146, 0.0, -0.0015331200337215965, 0.0, 0.029161947867629236, 0.0, -0.048456572289458114, 0.0, 0.05978738342192735, 0.0, -0.05989536368913571, 0.0, 0.049030878939921696, 0.0, -0.03045931171589536, 0.0, 0.005779506952298482, 0.0, 0.019654765533516985, 0.0, -0.038694943045911166, 0.0, 0.050679560454792265, 0.0, -0.05311898167678708, 0.0, 0.044010830180499505, 0.0, -0.02728854972862458, 0.0, 0.004301430916888123, 0.0, 0.022894211434296596, 0.0, -0.044627253889162825, 0.0, 0.056854061952835405, 0.0, -0.05780725156708884, 0.0, 0.04295498019416718, 0.0, -0.017215830083331628, 0.0, -0.011899782619473432, 0.0, 0.04341657678220412, 0.0, -0.0669663810217966, 0.0, 0.07291855247128493, 0.0, -0.062077924542487256, 0.0, 0.0296503238732666, 0.0, 0.020770588081356213, 0.0, -0.06799483281321415, 0.0, 0.10142037173559829, 0.0, -0.10846577614120798, 0.0, 0.06835075310084315, 0.0, 0.01033796286247926, 0.0, -0.10483602005318976, 0.0, 0.18612178530278367, 0.0, -0.17967965157577176, 0.0, 0.01819159631531557, 0.0, 0.2882751482927834, 0.0, -0.47730295127258066, 0.0, -0.6156101917372623, 0.0, -0.14122300273257737]","True","False","2.2357179806106653","1.998371534673402","0.32900206763768125","-1.5830146247952648e-05"
"128","101","1","1.2237305083603638","279.6398057937622","[0.015416027269639972, -0.05429984205547983, 0.08075457573448677, -0.10945218093615565, 0.11980812085888824, -0.12173475607431906, 0.10850364788416135, -0.11310152403750745, 0.07423227894110743, -0.00449516459057861, 0.01591889989565031, -0.010723984008830427, -0.05118970646485244, 0.0563765106212403, -0.08008261163966572, 0.06492575763691932, -0.027414860614445005, 0.017563928875474713, 0.028734733823175457, -0.022601476881440034, 0.05251128561723447, -0.03629588582699975, 0.0516173345763325, -0.028227184043499855, 0.03295342523248899, 0.0062729055257323835, -0.022992821827917828, 0.056238452053405684, -0.05849649341593038, 0.056079184022725576, -0.04110138900407467, 0.02027136289120477, 0.021585193706337776, -0.05432067951702497, 0.07225554228560586, -0.07448113326816104, 0.06000336052048044, -0.029139291543494865, -0.02360156197829362, 0.06341787968745925, -0.1148526197352035, 0.09865901217823658, -0.10274532708172472, -0.029066037087021473, 0.031922326400007875, -0.29207935784367395, 0.048395841923625074, -0.4071684858250673, -0.7442201180725839, 0.11834783602879333, 0.28963796134653647]","[0.0, 0.020029181609569482, 0.0, -0.05548559712161037, 0.0, 0.08807878330604046, 0.0, -0.1094988907155463, 0.0, 0.12327859180175485, 0.0, -0.12325722989288945, 0.0, 0.11439356901462068, 0.0, -0.09302457100916205, 0.0, 0.06723479114962749, 0.0, -0.03669973190784599, 0.0, 0.00473630850972758, 0.0, 0.02400381225167439, 0.0, -0.04418321372281228, 0.0, 0.05633442244078785, 0.0, -0.057967267720649446, 0.0, 0.05054076660250836, 0.0, -0.03506864124783637, 0.0, 0.014070876349497394, 0.0, 0.008969307870364481, 0.0, -0.02936242229388562, 0.0, 0.04527546232017873, 0.0, -0.05116779969769154, 0.0, 0.04875791908351724, 0.0, -0.03521447209094501, 0.0, 0.01504910674702131, 0.0, 0.008455389864432446, 0.0, -0.030691287969203576, 0.0, 0.04767194224743648, 0.0, -0.05522899221322211, 0.0, 0.05217417749296614, 0.0, -0.035314041582181474, 0.0, 0.009731712230734862, 0.0, 0.0196517922466134, 0.0, -0.04705492646298612, 0.0, 0.06614573928695677, 0.0, -0.07034675224244558, 0.0, 0.05454568330104913, 0.0, -0.02451424654780971, 0.0, -0.02249596826873962, 0.0, 0.06086414970089732, 0.0, -0.10379270241590331, 0.0, 0.09165305108902118, 0.0, -0.09320662626065257, 0.0, -0.028132640090210652, 0.0, 0.029762102567840946, 0.0, -0.2714635124184077, 0.0, 0.03938095270643596, 0.0, -0.3769891382891175, 0.0, -0.6992725710911603, 0.0, 0.10832173324305688, 0.0, 0.2754518186921034]","True","False","2.1036395660625704","1.9847700588363102","0.17147418642338486","-2.2030455551158568e-05"
"256","101","1","0.1796813487414814","278.7587220668793","[0.01990979242416341, -0.05793266331914056, 0.0909616630187338, -0.11107000082093557, 0.12528374619337415, -0.12227237775042929, 0.11180367333629294, -0.09063909208443388, 0.07196218445372815, -0.036576141508226495, 0.006682913161357727, 0.024740351902187686, -0.04320753807802333, 0.06243101681945033, -0.06057396964481886, 0.051199666927247894, -0.03299935322651404, 0.009838429840043144, 0.00906495258061234, -0.031914951196882445, 0.042471943522567675, -0.05171269147532136, 0.05039759460390723, -0.03335373701614826, 0.016115987620762575, 0.014031969439278594, -0.03621456714489464, 0.040238284985860275, -0.05325285001204621, 0.05520203743376628, -0.033929831611700136, 0.005827198245812624, 0.01929901469418001, -0.04681439511448862, 0.06645137256137243, -0.06996690283813345, 0.054006046028821454, -0.022593755061009083, -0.022550146379219878, 0.06591006123503265, -0.1016164432557083, 0.10059135699511387, -0.08018292964610887, -0.015117750084079264, 0.0634425879016115, -0.24540687610489978, 0.08472586220755227, -0.3390011007289165, -0.762018726321156, 0.004104207184256603, 0.2351593203475902]","[0.0, 0.019556711054575883, 0.0, -0.05665698337363134, 0.0, 0.08833742762173938, 0.0, -0.11147430779196026, 0.0, 0.12394240031479681, 0.0, -0.12484028787730556, 0.0, 0.11448189925566844, 0.0, -0.09414434023338022, 0.0, 0.06659086403153482, 0.0, -0.03517991926311845, 0.0, 0.0038864131844281507, 0.0, 0.024117063292632884, 0.0, -0.04503001068362439, 0.0, 0.056928365898383855, 0.0, -0.05858437336316198, 0.0, 0.050536930357999936, 0.0, -0.034319717108875505, 0.0, 0.012852357924910551, 0.0, 0.010071234486441021, 0.0, -0.030639122082213838, 0.0, 0.04520977842177315, 0.0, -0.05116437633960538, 0.0, 0.04741854038162494, 0.0, -0.03427590803695679, 0.0, 0.014240561697050683, 0.0, 0.009319706566060446, 0.0, -0.03159385182821288, 0.0, 0.04839042175351739, 0.0, -0.05525029799271987, 0.0, 0.050459185310251994, 0.0, -0.033949256364908295, 0.0, 0.008483771094899131, 0.0, 0.021303927965649967, 0.0, -0.048482467922113484, 0.0, 0.0662899433292505, 0.0, -0.06897334299278465, 0.0, 0.05334764541796843, 0.0, -0.02109501795943394, 0.0, -0.023308981294913857, 0.0, 0.06608772666858226, 0.0, -0.1002727925834694, 0.0, 0.09879572402389414, 0.0, -0.07819369352176424, 0.0, -0.015164443979889367, 0.0, 0.06333084711428148, 0.0, -0.24262282983602768, 0.0, 0.08276299369443696, 0.0, -0.3338533287517209, 0.0, -0.751582363940949, 0.0, 0.0031312913261110813, 0.0, 0.23207470082807694]","True","False","2.0203225543818517","1.998603541396031","0.04570272696579614","-1.1097567088613758e-06"
"512","101","1","0.9987411473603536","285.6202139854431","[0.019671829897928674, -0.05632628315426337, 0.087345261404039, -0.11080399343915835, 0.12327571503247592, -0.1243701432767029, 0.11437080435403069, -0.09358603457093219, 0.06724845314516908, -0.03590801786741085, 0.0051147433100104875, 0.02266487448600444, -0.044481308138825774, 0.056908790733609764, -0.058999777462280384, 0.05024866014356362, -0.034210041101271536, 0.014234762339759921, 0.007938488613087744, -0.029038877357168372, 0.04453260332714394, -0.05053220250424207, 0.04687050652383552, -0.03586940794673161, 0.017056102408996986, 0.0080735353802099, -0.02978007417778348, 0.045047768220306615, -0.05622667749210606, 0.049746607533463605, -0.03656212913146425, 0.011349195240928589, 0.017190502244418683, -0.04418587606735078, 0.0632615151427219, -0.06822340125546048, 0.05601445633090795, -0.026922653910759944, -0.014159223735189888, 0.05778461584430642, -0.09170922159168363, 0.10244798614381542, -0.0792765169411441, 0.01937768319823659, 0.06818038965690375, -0.1577495363656489, 0.20295129696511272, -0.136781305004422, -0.12818857076222404, 0.6938168654834197, 0.47106409055960036]","[0.0, 0.019407479016375895, 0.0, -0.05635203655173332, 0.0, 0.08784098751106122, 0.0, -0.1108689055804506, 0.0, 0.12336473588184421, 0.0, -0.1243610186478703, 0.0, 0.11410438084416469, 0.0, -0.09411573429836444, 0.0, 0.0668809465466709, 0.0, -0.03581250100913963, 0.0, 0.004569246276879274, 0.0, 0.02315519069095077, 0.0, -0.04421409407583581, 0.0, 0.0562869225388519, 0.0, -0.05833711861301513, 0.0, 0.05065164925121307, 0.0, -0.03493449302738491, 0.0, 0.013966055814360128, 0.0, 0.008690275338776917, 0.0, -0.02917790326103182, 0.0, 0.04397326948556153, 0.0, -0.05046808441301995, 0.0, 0.04740814943526882, 0.0, -0.03520294687549447, 0.0, 0.01588734434377718, 0.0, 0.007064970083621575, 0.0, -0.02929773030016972, 0.0, 0.04627104424377522, 0.0, -0.054210644483521905, 0.0, 0.05079519495749344, 0.0, -0.03591659610585874, 0.0, 0.011811168665272261, 0.0, 0.016944570521442895, 0.0, -0.0441958848632342, 0.0, 0.06322741838587845, 0.0, -0.06830425527107656, 0.0, 0.05604278724999816, 0.0, -0.026894827859066252, 0.0, -0.014213296383909866, 0.0, 0.057932335086522194, 0.0, -0.09169162478356514, 0.0, 0.1022112516209231, 0.0, -0.07905629734930994, 0.0, 0.019151073476779294, 0.0, 0.0682925152427343, 0.0, -0.15739915148045602, 0.0, 0.20229895836234268, 0.0, -0.13595708444487367, 0.0, -0.12823967352810722, 0.0, 0.6913598426369151, 0.0, 0.46949122290260403]","True","False","0.010743168323423147","0.0013363699155572104","0.010629787067084395","-1.024001983207512e-08"
"1024","101","1","0.0054869771733206","280.56677508354187","[0.019058349936319247, -0.05625130301100211, 0.08835080931441171, -0.11067817263130085, 0.12319213348356749, -0.12497462216617221, 0.11390438796490629, -0.09424833980841302, 0.06658661289716582, -0.0359437074687635, 0.0045018593038314144, 0.02332359962385296, -0.04434170137209721, 0.05618351062963384, -0.05823816838853557, 0.0507511900530518, -0.03498607140709338, 0.013907702674850688, 0.008867433929163294, -0.02935394490904025, 0.04405339113867594, -0.0505215231135025, 0.04740243352124165, -0.035099166962028826, 0.015612074058900383, 0.007350670725466543, -0.02943474230248374, 0.04612082134810481, -0.05394387169423021, 0.05064360395826004, -0.03589301850450084, 0.011826849820562502, 0.017134025364701638, -0.04438146874893931, 0.06335314786478366, -0.068156297279899, 0.05593739435386287, -0.02658876766839517, -0.014441264192310534, 0.05808988266264188, -0.0918159730014604, 0.10210849063236005, -0.07882276998506263, 0.018644184453802556, 0.06898289533552894, -0.1577427256015452, 0.20213715665464418, -0.13528870230909465, -0.12928208729808696, 0.691426363149275, 0.47087734759664407]","[0.0, 0.01941041552073217, 0.0, -0.05638301108592358, 0.0, 0.08790927409058438, 0.0, -0.11094084223236012, 0.0, 0.1234353214108938, 0.0, -0.12442806345841129, 0.0, 0.11412637980575528, 0.0, -0.09410806102205656, 0.0, 0.06687297954717143, 0.0, -0.03576842011782376, 0.0, 0.004498386937995918, 0.0, 0.023237785707428592, 0.0, -0.044266887968241575, 0.0, 0.05631605945090923, 0.0, -0.058341647229193716, 0.0, 0.050646250613482754, 0.0, -0.03487333415029199, 0.0, 0.013862621679981818, 0.0, 0.00879633739484556, 0.0, -0.029275629953079963, 0.0, 0.04402613161156452, 0.0, -0.050483372004084946, 0.0, 0.04736593964020212, 0.0, -0.03511826878838972, 0.0, 0.015759613543488614, 0.0, 0.007196871833605756, 0.0, -0.029391686251381215, 0.0, 0.04631494161820569, 0.0, -0.05417679486346811, 0.0, 0.05071023286959506, 0.0, -0.03575580590940393, 0.0, 0.011611157753501009, 0.0, 0.017144693351541528, 0.0, -0.04434788044455774, 0.0, 0.06329193651434045, 0.0, -0.06823466778436359, 0.0, 0.055830899476403295, 0.0, -0.026603957746213082, 0.0, -0.014537591240685691, 0.0, 0.05817669408026299, 0.0, -0.09176929726202204, 0.0, 0.10203357341115322, 0.0, -0.07859648340901648, 0.0, 0.018543133636300203, 0.0, 0.06884999088822358, 0.0, -0.15765795946951475, 0.0, 0.20200281264482134, 0.0, -0.13506298007617648, 0.0, -0.12915474239140629, 0.0, 0.6907291337629411, 0.0, 0.47046970983171144]","True","False","0.005970410344595334","0.005584179985116116","0.0025637403971421335","-1.0041244613567812e-08"
"2048","101","1","0.0025925990476815","280.97778487205505","[0.01944906292051915, -0.05641750003927382, 0.08785402121064136, -0.11085146573426863, 0.12335791513496823, -0.12437369435011965, 0.11411458322243308, -0.0940902626643937, 0.06688170467031872, -0.03582778947404872, 0.004592064913867719, 0.023148479753344626, -0.04422515720624851, 0.05630446720811963, -0.058313483318443375, 0.05062994580433048, -0.03493059826625577, 0.014025056375771746, 0.008615824618633649, -0.029130421850832405, 0.04396329426261502, -0.05046263815030938, 0.0474605667320827, -0.03523970359480214, 0.01590811806613326, 0.007129116223949963, -0.02931652661371287, 0.046215378689095116, -0.05416058910195649, 0.05080634346515007, -0.035970504632282484, 0.011830611732944009, 0.016925777538046374, -0.044145559588396825, 0.06315272537110689, -0.06834875408091161, 0.05598257089279339, -0.026987436459860705, -0.014230695157958837, 0.05783308685664735, -0.09169454525319091, 0.1023471653594893, -0.07906610400276311, 0.019210675301401192, 0.06824226169786642, -0.1575130764257827, 0.20245249801019152, -0.13606861601209003, -0.12816630295354683, 0.6914477761445417, 0.4695502823637863]","[0.0, 0.019419058728765457, 0.0, -0.0563672562651325, 0.0, 0.08784617143893132, 0.0, -0.11087426713731571, 0.0, 0.12336562569287138, 0.0, -0.12435680636488552, 0.0, 0.11410661819252299, 0.0, -0.0941057996419695, 0.0, 0.0668973131950041, 0.0, -0.03582294355648719, 0.0, 0.004582453013871792, 0.0, 0.023146221309971786, 0.0, -0.04419950381055364, 0.0, 0.05628764697076246, 0.0, -0.05834447713307179, 0.0, 0.05068020729940615, 0.0, -0.03495609774320939, 0.0, 0.01398421573228236, 0.0, 0.008664885694757388, 0.0, -0.02915101141522348, 0.0, 0.0439475755069166, 0.0, -0.05046604996644816, 0.0, 0.04741434428436404, 0.0, -0.035213216746920614, 0.0, 0.015885018227022547, 0.0, 0.007055684652622223, 0.0, -0.029271715159359904, 0.0, 0.04624950830639775, 0.0, -0.05419152973850987, 0.0, 0.05081371866713838, 0.0, -0.035936047070518194, 0.0, 0.01185043733231557, 0.0, 0.01690511931303577, 0.0, -0.044160975338028305, 0.0, 0.0631944587935577, 0.0, -0.06829577059873962, 0.0, 0.056051861640846606, 0.0, -0.026922929830321293, 0.0, -0.014202383425813125, 0.0, 0.05790500429343104, 0.0, -0.09170353046524934, 0.0, 0.10224879310364339, 0.0, -0.07907428460586605, 0.0, 0.019187770225278546, 0.0, 0.06827590962386546, 0.0, -0.15743881559740308, 0.0, 0.20239091964738165, 0.0, -0.13607124563995285, 0.0, -0.12813683863216568, 0.0, 0.6913219847663378, 0.0, 0.46948310483070255]","True","False","0.0010232500131895916","0.0008080448801158768","0.0005499273145614936","-3.712139706735229e-09"
"4096","101","1","0.0004873760367298","281.03742599487305","[0.019407904207838757, -0.056339858754306, 0.08783854011464377, -0.11087257189521711, 0.12335419252404488, -0.12434020953437758, 0.11411280945705703, -0.0941200698664401, 0.06691086711786692, -0.03581799822761096, 0.004583248894681807, 0.02314549360117632, -0.04419232177884011, 0.056281173217157116, -0.058337049987180985, 0.050667966225230815, -0.03496499093312708, 0.014007064207988999, 0.00864056458485331, -0.029139624187586716, 0.04393787037969065, -0.05046101028376972, 0.04740448124156467, -0.035235299922874, 0.015893637731857146, 0.00702883510751362, -0.02925721724889382, 0.04622827428675512, -0.0541939936135641, 0.0508240202590739, -0.03594356952335389, 0.011901042009630212, 0.01685738436253385, -0.04413833864916639, 0.06318907732082288, -0.06829153393118313, 0.05607390172982436, -0.026963460801046855, -0.014117129451093658, 0.057873027948092126, -0.09169126503230954, 0.1022581118646483, -0.07917077675468845, 0.019294600607060546, 0.06820500927602882, -0.15738775241247013, 0.20243953854850175, -0.13624410520637384, -0.1279786792814022, 0.6914191614003513, 0.4693209127853275]","[0.0, 0.01940812650988677, 0.0, -0.05634578846234561, 0.0, 0.08783498452343672, 0.0, -0.11087012483857125, 0.0, 0.12335783294734493, 0.0, -0.12434410237770867, 0.0, 0.114106296372899, 0.0, -0.09411569010706604, 0.0, 0.06691112704191823, 0.0, -0.03582354062819429, 0.0, 0.00458503354436704, 0.0, 0.023142659885983956, 0.0, -0.044194652520414074, 0.0, 0.056283680554046644, 0.0, -0.05833794349225987, 0.0, 0.05067404747957172, 0.0, -0.03496172716060214, 0.0, 0.01400136300615249, 0.0, 0.008644717217856666, 0.0, -0.02913759700745586, 0.0, 0.04393267974519631, 0.0, -0.050456127198359124, 0.0, 0.04740859448985285, 0.0, -0.03523315199511069, 0.0, 0.01589802849694, 0.0, 0.007024557481551487, 0.0, -0.02925754019181442, 0.0, 0.046236102495733594, 0.0, -0.0541887440249355, 0.0, 0.05082506886702344, 0.0, -0.03594950076078744, 0.0, 0.011896222088124546, 0.0, 0.01686087425639237, 0.0, -0.04413167024896279, 0.0, 0.06319144249461456, 0.0, -0.0682931803065613, 0.0, 0.05607709140020034, 0.0, -0.026963462799673564, 0.0, -0.01412466896252464, 0.0, 0.05787390953989128, 0.0, -0.09168798394787797, 0.0, 0.10225668591866281, 0.0, -0.07916845093092378, 0.0, 0.019291668968881723, 0.0, 0.06819866318909704, 0.0, -0.1573903107033182, 0.0, 0.20243958622063948, 0.0, -0.13623623947653768, 0.0, -0.1279732285143338, 0.0, 0.6914094505545758, 0.0, 0.4693146432011043]","True","False","0.00017984203130094745","0.00011177629406344813","7.404892742668423e-05","-2.266440590759089e-09"
"8192","101","1","9.406240930514976e-05","285.9376699924469","[0.019407621370506705, -0.05635309015591379, 0.08782723073168881, -0.1108678238621145, 0.12336258391224311, -0.12434969051156063, 0.11410246900543573, -0.09410841995556656, 0.06690807293428885, -0.03583070085936035, 0.004583967431723367, 0.023139237499154454, -0.04418841569648187, 0.05628180056142681, -0.05834329145716572, 0.050687725016340085, -0.034966589280733054, 0.013993570617411948, 0.00865087018568862, -0.029138280970818317, 0.04393931904217609, -0.05044806791065574, 0.047416008577411926, -0.03521434287336679, 0.01590960391198047, 0.0070280885456500625, -0.029249042307892825, 0.0462395610944237, -0.05419741102079538, 0.05082500236388566, -0.03595932263709907, 0.011880973490929335, 0.01687024921128094, -0.04412440220289704, 0.06318879081804347, -0.06829079643551006, 0.05608426989621267, -0.02696293668180226, -0.014140966628591068, 0.057874057502691756, -0.0916849283615244, 0.10226105796858308, -0.07914712637990176, 0.01928694914817997, 0.06818020289574242, -0.15738840871261145, 0.20244160844257375, -0.13622109501378943, -0.12796810279740806, 0.6913812528513389, 0.46929066039321865]","[0.0, 0.019407621370832538, 0.0, -0.05635309015586841, 0.0, 0.08782723073159468, 0.0, -0.11086782386241195, 0.0, 0.12336258391169955, 0.0, -0.12434969051206621, 0.0, 0.11410246900535755, 0.0, -0.094108419955443, 0.0, 0.06690807293441277, 0.0, -0.035830700859219675, 0.0, 0.0045839674318297295, 0.0, 0.023139237499050752, 0.0, -0.044188415697032746, 0.0, 0.05628180056081558, 0.0, -0.05834329145742087, 0.0, 0.05068772501618172, 0.0, -0.03496658928082201, 0.0, 0.013993570617656683, 0.0, 0.008650870186066525, 0.0, -0.02913828097074355, 0.0, 0.04393931904203344, 0.0, -0.050448067910912636, 0.0, 0.047416008577029226, 0.0, -0.03521434287375359, 0.0, 0.01590960391174516, 0.0, 0.007028088545756678, 0.0, -0.029249042307547983, 0.0, 0.04623956109491247, 0.0, -0.05419741102039859, 0.0, 0.05082500236396324, 0.0, -0.03595932263713324, 0.0, 0.01188097349077043, 0.0, 0.016870249210933698, 0.0, -0.044124402203118515, 0.0, 0.06318879081829155, 0.0, -0.06829079643494196, 0.0, 0.0560842698967423, 0.0, -0.02696293668136115, 0.0, -0.014140966628388905, 0.0, 0.057874057502560014, 0.0, -0.09168492836161005, 0.0, 0.10226105796851336, 0.0, -0.07914712637999238, 0.0, 0.019286949148525023, 0.0, 0.068180202896232, 0.0, -0.15738840871222332, 0.0, 0.20244160844278852, 0.0, -0.1362210950137493, 0.0, -0.12796810279742404, 0.0, 0.6913812528512734, 0.0, 0.4692906603929447]","False","False","4.03793380624462e-05","4.037932872524852e-05","-5.9744694859809044e-05","-5.974470423286693e-05"
"16384","101","1","1.8796023533245076e-05","292.4866168498993","[0.01941253149506019, -0.05634976540510312, 0.08783134866913131, -0.11086809981538465, 0.12336284930791028, -0.12435006183011607, 0.11410156094943083, -0.09410537417061739, 0.06690866308215607, -0.03583076130299779, 0.004589381332986593, 0.02314316449144207, -0.04419208238749145, 0.056280984148800506, -0.05834394180497909, 0.050685486024440896, -0.03496473427045175, 0.013991957289059255, 0.008653590612872858, -0.029133570384013038, 0.04393742708805997, -0.050449572224122004, 0.047412497061416856, -0.035215131412471706, 0.015911882547275137, 0.0070299702890814515, -0.02924813609821896, 0.04623913173441322, -0.054196668028354655, 0.050822007581914165, -0.03596074743307531, 0.011882322339603357, 0.016869309756073998, -0.044122189588856, 0.06318982310038114, -0.06829188304409725, 0.056082561628868446, -0.02696356340740436, -0.014139730773350621, 0.05787382408149911, -0.09168585437588987, 0.10225813063056091, -0.0791507251744669, 0.01928603839142845, 0.06818237928065089, -0.15738613696089124, 0.202437426754733, -0.13622161011879738, -0.12796538583731132, 0.691375029418332, 0.4692844372249507]","[0.0, 0.019412531495080675, 0.0, -0.056349765405113515, 0.0, 0.08783134866913439, 0.0, -0.11086809981538187, 0.0, 0.12336284930788638, 0.0, -0.1243500618301458, 0.0, 0.11410156094944879, 0.0, -0.09410537417058666, 0.0, 0.06690866308214682, 0.0, -0.03583076130300709, 0.0, 0.004589381333023963, 0.0, 0.02314316449146432, 0.0, -0.04419208238753986, 0.0, 0.05628098414875338, 0.0, -0.058343941804968553, 0.0, 0.0506854860244602, 0.0, -0.03496473427045842, 0.0, 0.013991957289064993, 0.0, 0.00865359061291503, 0.0, -0.029133570383986212, 0.0, 0.04393742708805011, 0.0, -0.050449572224152306, 0.0, 0.04741249706138222, 0.0, -0.03521513141249659, 0.0, 0.015911882547278967, 0.0, 0.007029970289112602, 0.0, -0.029248136098209802, 0.0, 0.04623913173441995, 0.0, -0.05419666802834262, 0.0, 0.050822007581910716, 0.0, -0.03596074743304213, 0.0, 0.011882322339648565, 0.0, 0.016869309756064682, 0.0, -0.04412218958888977, 0.0, 0.0631898231003892, 0.0, -0.06829188304405738, 0.0, 0.0560825616288891, 0.0, -0.026963563407395953, 0.0, -0.014139730773346931, 0.0, 0.05787382408150239, 0.0, -0.09168585437583476, 0.0, 0.1022581306306357, 0.0, -0.07915072517442329, 0.0, 0.01928603839147513, 0.0, 0.06818237928067158, 0.0, -0.1573861369608961, 0.0, 0.20243742675470672, 0.0, -0.13622161011886347, 0.0, -0.12796538583736355, 0.0, 0.6913750294183284, 0.0, 0.4692844372249331]","False","False","1.3820159648680885e-05","1.382015958817373e-05","-9.043671454178615e-05","-9.043671452957369e-05"
"32768","101","1","6.209734418061031e-06","312.06353187561035","[0.019411251118358328, -0.05634952928483548, 0.08783246010494915, -0.11086761050228348, 0.1233623940791612, -0.12435000043809594, 0.1141017882208352, -0.09410598157652669, 0.06690825537150574, -0.03583049349005155, 0.004589031472327632, 0.023143627349201928, -0.044191487423416, 0.05628039897490063, -0.05834306992235179, 0.05068532834370748, -0.034965305834025136, 0.01399251531388397, 0.008652440996398343, -0.029133472854591832, 0.04393801618378575, -0.05044954049861842, 0.047413348354567876, -0.035214703779277254, 0.01591080257890688, 0.007029033296640449, -0.029247590834539566, 0.04623907507435147, -0.05419602633313982, 0.05082256014631795, -0.03596137087642856, 0.011882216648987929, 0.016868289978358653, -0.04412195710723542, 0.06318956849492927, -0.06829229497552851, 0.05608261785269508, -0.026964293733395317, -0.0141385415025138, 0.057874804639163356, -0.09168538098579104, 0.1022577611710534, -0.0791507582551436, 0.01928782957500557, 0.06818119189290994, -0.15738538657747106, 0.20243794260675094, -0.13622290674035908, -0.12796301560124432, 0.6913745344180404, 0.46928153507495945]","[0.0, 0.01941125111837031, 0.0, -0.05634952928484713, 0.0, 0.08783246010495502, 0.0, -0.11086761050227108, 0.0, 0.12336239407914641, 0.0, -0.12435000043812633, 0.0, 0.11410178822084552, 0.0, -0.09410598157650082, 0.0, 0.06690825537150218, 0.0, -0.035830493490058166, 0.0, 0.004589031472354312, 0.0, 0.023143627349224663, 0.0, -0.044191487423454245, 0.0, 0.05628039897485667, 0.0, -0.05834306992234568, 0.0, 0.05068532834371755, 0.0, -0.03496530583403444, 0.0, 0.013992515313892059, 0.0, 0.00865244099643181, 0.0, -0.029133472854571324, 0.0, 0.043938016183788314, 0.0, -0.05044954049863563, 0.0, 0.04741334835453728, 0.0, -0.03521470377930383, 0.0, 0.01591080257889993, 0.0, 0.00702903329666197, 0.0, -0.02924759083453192, 0.0, 0.0462390750743603, 0.0, -0.05419602633312017, 0.0, 0.050822560146325746, 0.0, -0.035961370876395296, 0.0, 0.011882216649025525, 0.0, 0.016868289978352227, 0.0, -0.04412195710726178, 0.0, 0.06318956849493779, 0.0, -0.06829229497548994, 0.0, 0.0560826178527216, 0.0, -0.026964293733377418, 0.0, -0.014138541502509597, 0.0, 0.057874804639155356, 0.0, -0.09168538098575191, 0.0, 0.1022577611711165, 0.0, -0.07915075825511345, 0.0, 0.01928782957503495, 0.0, 0.0681811918929221, 0.0, -0.1573853865774699, 0.0, 0.20243794260673503, 0.0, -0.13622290674040324, 0.0, -0.12796301560127896, 0.0, 0.6913745344180389, 0.0, 0.469281535074935]","False","False","3.042714453727058e-06","3.042714541434677e-06","-9.726538392795803e-05","-9.726538415588681e-05"
