"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json"
"101","101","1","inf","1350.9057133197784","[0.18949566834257128, -0.16856205771016405, 0.14785257011456765, -0.12751324803081224, 0.10768509363284318, -0.08850218578825732, 0.07008984518271381, -0.05256299488596784, 0.036024640589722094, -0.020564616260588812, 0.0062585127148453365, 0.006833077223702836, -0.018665096156891343, 0.02920822770885865, -0.03844888857160906, 0.046388908919977365, -0.05304503110068544, 0.058448134529502434, -0.06264231759103406, 0.06568374198945391, -0.06763936712441701, 0.06858547888107168, -0.06860614392634531, 0.06779150322030128, -0.06623605056080084, 0.06403682784252894, -0.06129170046818045, 0.05809765745630208, -0.05454930353556557, 0.05073747947226681, -0.04674815637297825, 0.04266150682071308, -0.03855125739057046, 0.03448418253487571, -0.03051980714284842, 0.026710153297917733, -0.02309959246804837, 0.019724653836176703, -0.016613885810655597, 0.013787673486254414, -0.011258169997512862, 0.00902930507710442, -0.007097080054696875, 0.0054501486934000545, -0.004070914007838932, 0.0029371539812903815, -0.0020244088305286633, 0.0013088391586146325, -0.0007649632774549611, 0.0001112988342663488, 0.002725984464949801]","[0.0, 0.18918750189712177, 0.0, -0.16771921242620813, 0.0, 0.14663048821482727, 0.0, -0.1260523425536328, 0.0, 0.10611007781563893, 0.0, -0.08692161597884308, 0.0, 0.06859591500472856, 0.0, -0.05123159037211084, 0.0, 0.03491565689024892, 0.0, -0.019722528172635083, 0.0, 0.005713183505461603, 0.0, 0.007065371206635283, 0.0, -0.018580453565512876, 0.0, 0.02881375626776534, 0.0, -0.03776122198622746, 0.0, 0.0454326456806813, 0.0, -0.05185113510359456, 0.0, 0.05705233698306009, 0.0, -0.061083557976984365, 0.0, 0.0640026830204301, 0.0, -0.06587701482331151, 0.0, 0.06678193428136925, 0.0, -0.06679950763913395, 0.0, 0.06601694844745284, 0.0, -0.06452507425614804, 0.0, 0.06241668385515178, 0.0, -0.05978501283889264, 0.0, 0.05672220678149595, 0.0, -0.053317974622892436, 0.0, 0.04965835454452246, 0.0, -0.0458247349312315, 0.0, 0.04189303103817918, 0.0, -0.03793312059613371, 0.0, 0.03400839795747013, 0.0, -0.030175514561035174, 0.0, 0.02648414249099618, 0.0, -0.022976824262862745, 0.0, 0.019688761952622265, 0.0, -0.01664764546301161, 0.0, 0.013873425651928478, 0.0, -0.01137819326672861, 0.0, 0.00916612993602279, 0.0, -0.007233743230716011, 0.0, 0.005570387762816894, 0.0, -0.0041593048141536785, 0.0, 0.0029791955895721867, 0.0, -0.0020065628393344656, 0.0, 0.001218532312377785, 0.0, -0.0005905632763524268, 0.0, -0.00015798373081623662, 0.0, 0.003100771401607205]"
"128","101","1","0.03537275546370743","2253.9845762252808","[0.18911183087986905, -0.16743348251323156, 0.14505502722660416, -0.12409992792939714, 0.10337457613529007, -0.08335096271690033, 0.06410367238837493, -0.04601303912257792, 0.028960420254868446, -0.013125367281552166, -0.001432393780238234, 0.014575879131060213, -0.026362535086500407, 0.03672254547236466, -0.04565853662282083, 0.05315483063800135, -0.0592900422657095, 0.06407790750502693, -0.0675798268582024, 0.06985602534859939, -0.07101277489172897, 0.07112256284387966, -0.07028323895407287, 0.0685967301073348, -0.06618267849703768, 0.0631439638457304, -0.059585206237217365, 0.0556199853251269, -0.05135938452659933, 0.04690700036422822, -0.04234312638885799, 0.037768927804286936, -0.03326417721806865, 0.028907684728160393, -0.024729656491089904, 0.020808456856173496, -0.01717608406006044, 0.013873996960374852, -0.010868493721058161, 0.008230599757256428, -0.0059365752436842415, 0.003997864399985384, -0.002310084636965426, 0.0009996940117363879, 3.4262283940018265e-05, -0.0007805905154407843, 0.001480283150657815, -0.0016961060725176288, 0.0018238784920856903, -0.0018309926926997025, 0.008843993595942049]","[0.0, 0.18905193565286466, 0.0, -0.167269823261017, 0.0, 0.14481808767438048, 0.0, -0.12381742590085937, 0.0, 0.10307128890995872, 0.0, -0.08304858343315301, 0.0, 0.06382068278897564, 0.0, -0.045764667747884305, 0.0, 0.02875866579784823, 0.0, -0.012979076599709125, 0.0, -0.0015173953852703364, 0.0, 0.014596596985756022, 0.0, -0.026318567169212742, 0.0, 0.03661580735811923, 0.0, -0.045492955618770245, 0.0, 0.052936013459318476, 0.0, -0.05902493016131863, 0.0, 0.0637744288321963, 0.0, -0.06724655453516887, 0.0, 0.06950184609172094, 0.0, -0.07064658086031544, 0.0, 0.07075297241988293, 0.0, -0.06991835098871053, 0.0, 0.0682439152968301, 0.0, -0.06584841242933812, 0.0, 0.06283370314516673, 0.0, -0.05930330681473919, 0.0, 0.055369661200954254, 0.0, -0.051142705870315185, 0.0, 0.04672492763408385, 0.0, -0.04219557492471397, 0.0, 0.037654857713704165, 0.0, -0.03318170421498205, 0.0, 0.028854207094288625, 0.0, -0.024701990319743895, 0.0, 0.02080297432626589, 0.0, -0.01718885129983134, 0.0, 0.013900907936507605, 0.0, -0.010905392309134954, 0.0, 0.008273388382390542, 0.0, -0.005981310486154279, 0.0, 0.004040838474770459, 0.0, -0.002347884820211437, 0.0, 0.0010292456953845605, 0.0, 1.5663693459925295e-05, 0.0, -0.0007752594986120093, 0.0, 0.001490149893517715, 0.0, -0.0017227251057338943, 0.0, 0.00186843092950194, 0.0, -0.0018942955256863354, 0.0, 0.008926849404338534]"
"256","101","1","0.011414101759148353","1513.9939579963684","[0.18880148924264334, -0.16649149153402212, 0.14444019674164343, -0.12282334454911521, 0.1018066057436219, -0.081544473969557, 0.062178739971948754, -0.04383670790774876, 0.026643191918875216, -0.010695710560268603, -0.003921231852439026, 0.017148379244425745, -0.028944672945156187, 0.039272909625511644, -0.048133351795476495, 0.05553198227755153, -0.0615075057724404, 0.06610905529800098, -0.06938442720250239, 0.07142102515294775, -0.07229477687677215, 0.07211833814637976, -0.07099555398305138, 0.06902037388448341, -0.06632393184988744, 0.06300215305242039, -0.059195652630849714, 0.05500835770276129, -0.050530335216832575, 0.04588826182776691, -0.041147418980182975, 0.03644036431630966, -0.031824363458371197, 0.027351421529423867, -0.023114247990022624, 0.019112482471119123, -0.015464885754766006, 0.012147524990779783, -0.0091645395258966, 0.006569474546347768, -0.00427083425342138, 0.002425960126057855, -0.0008868541640847099, -0.00036214529097330195, 0.0012766874682899694, -0.0021151991714688746, 0.002382871183639358, -0.002598091265094194, 0.002681351089712699, -0.002606289493665915, 0.010733538996179865]","[0.0, 0.18880174157287366, 0.0, -0.1664974928519159, 0.0, 0.14446174289607938, 0.0, -0.12286791027668713, 0.0, 0.1018795854769308, 0.0, -0.0816494145253698, 0.0, 0.06231756176003049, 0.0, -0.044009930441113065, 0.0, 0.026850137007071458, 0.0, -0.0109347004090139, 0.0, -0.003652689292648628, 0.0, 0.016853417135347513, 0.0, -0.02862690118027206, 0.0, 0.038936267194144975, 0.0, -0.04778196986787701, 0.0, 0.055170061607586696, 0.0, -0.06113920736720758, 0.0, 0.06573840329159189, 0.0, -0.0690152271671591, 0.0, 0.07105679439368079, 0.0, -0.0719386886586783, 0.0, 0.0717731784946199, 0.0, -0.07066369055065845, 0.0, 0.06870373789236414, 0.0, -0.066024010525317, 0.0, 0.0627199934796675, 0.0, -0.058931875481669234, 0.0, 0.05476318046393802, 0.0, -0.05030360462289353, 0.0, 0.04567949339636401, 0.0, -0.040955843937293394, 0.0, 0.036264982448254504, 0.0, -0.03166400160506215, 0.0, 0.027204796557480718, 0.0, -0.022980032520740934, 0.0, 0.018989373252103887, 0.0, -0.015351673508930457, 0.0, 0.012043165577701867, 0.0, -0.00906822439368045, 0.0, 0.006480699131459147, 0.0, -0.004189463882713633, 0.0, 0.002352293103875, 0.0, -0.0008216822239459028, 0.0, -0.0004174825506947663, 0.0, 0.0013202547033215873, 0.0, -0.002144425368737624, 0.0, 0.002394514106504023, 0.0, -0.0025882049499600423, 0.0, 0.002645265463885233, 0.0, -0.002538601728187378, 0.0, 0.010628255781000885]"
"512","101","1","0.0018314657858600673","1512.8014080524445","[0.18882392888323596, -0.16655894329112292, 0.14455483841973765, -0.12298230748239311, 0.10201251051060119, -0.08178806245374616, 0.0624616032405011, -0.044164160403705584, 0.0270022327899159, -0.011083914005211451, -0.003510052527678568, 0.016717680121038823, -0.02849580420338148, 0.03881887145045998, -0.047678920630953706, 0.05508188856195357, -0.06107248222621512, 0.06567823961104677, -0.06897167602795917, 0.07103123736850059, -0.07193298139479458, 0.07177674319678409, -0.07066950881536396, 0.06872274323651262, -0.06604936911987774, 0.0627623982952321, -0.05897262239088626, 0.05481176680504235, -0.05035318405361722, 0.045736682163115897, -0.04104537966565184, 0.03635521679622468, -0.03175303851020204, 0.027312197556898975, -0.02309256043110372, 0.019140602664269365, -0.015491340621475374, 0.012171602967243154, -0.009226774050995621, 0.006577775218414475, -0.004367912111937098, 0.002487499635281698, -0.0009245512984784646, -0.00031868645383319237, 0.0012588704113125643, -0.001923467976485919, 0.0023463793797579785, -0.0025626068102870474, 0.002602154968795403, -0.0024965645530059277, 0.010509000344582218]","[0.0, 0.18881904243524095, 0.0, -0.1665459377168745, 0.0, 0.14453680971309296, 0.0, -0.12296197472779087, 0.0, 0.10199221426253623, 0.0, -0.0817697672927432, 0.0, 0.06244690475175972, 0.0, -0.04415429677312297, 0.0, 0.026998100963220688, 0.0, -0.011086090180434377, 0.0, -0.003501288333033692, 0.0, 0.016702315901773256, 0.0, -0.028474064852504706, 0.0, 0.03879118547111655, 0.0, -0.04764588517747942, 0.0, 0.055044233782259026, 0.0, -0.061031035645690894, 0.0, 0.06563389139481696, 0.0, -0.06892534579494478, 0.0, 0.07098384332548116, 0.0, -0.07188541238998182, 0.0, 0.07172983409247663, 0.0, -0.07062401962349457, 0.0, 0.06867934235133225, 0.0, -0.06600862076696201, 0.0, 0.06272475414023254, 0.0, -0.05893841724666702, 0.0, 0.05478121825748629, 0.0, -0.05032639568330918, 0.0, 0.04571364990743236, 0.0, -0.04102600105396659, 0.0, 0.03633930243730596, 0.0, -0.03174032518440452, 0.0, 0.02730236254495261, 0.0, -0.023085236607973923, 0.0, 0.01913539379163967, 0.0, -0.015487836335958235, 0.0, 0.012169393080217084, 0.0, -0.009225461932181371, 0.0, 0.006576989768905441, 0.0, -0.004367318237005553, 0.0, 0.002486807571179585, 0.0, -0.0009235240306929291, 0.0, -0.00032022772719213455, 0.0, 0.0012610421326765993, 0.0, -0.001926321349542052, 0.0, 0.0023498987579191246, 0.0, -0.002566709216060809, 0.0, 0.002606690518816926, 0.0, -0.002501317556190571, 0.0, 0.010513728256851266]"
"1024","101","1","0.0009384064470936818","1613.9643669128418","[0.1888106575070162, -0.1665173465754052, 0.14449087868185168, -0.12289400196254155, 0.10189852040401161, -0.08165685380656583, 0.062311471491928054, -0.04399492339668897, 0.026825184008089042, -0.010900139304077454, -0.0036994703995589166, 0.016909696321431255, -0.02868486291807049, 0.03899922412786909, -0.04784714609081597, 0.055241780065690166, -0.06121260848734934, 0.0658045665029198, -0.06907982044605214, 0.07111439524821841, -0.07199503259171662, 0.0718178384687425, -0.07069028019485031, 0.06871934454719789, -0.06602300001650513, 0.06270966017747227, -0.058912120768280285, 0.054711986012426744, -0.0502511848735817, 0.04561956367261177, -0.040906844329919215, 0.03620444880798413, -0.03159708112451046, 0.027153328849737216, -0.02292974435369135, 0.018973223355663597, -0.015322273163374114, 0.012006259925194248, -0.009044335230191294, 0.00644467634560052, -0.004206597913842668, 0.002322645799601141, -0.0007784190320468056, -0.00044552477034988375, 0.001372362206043647, -0.002028471977251487, 0.0024444123471957296, -0.002649813544462364, 0.0026784516738859376, -0.0025604637720777904, 0.010680516991039493]","[0.0, 0.18881063766453135, 0.0, -0.1665172896498978, 0.0, 0.14449079402730536, 0.0, -0.12289389830199654, 0.0, 0.10189840572653797, 0.0, -0.08165673528031554, 0.0, 0.0623113553959114, 0.0, -0.04399481507304017, 0.0, 0.0268250878359478, 0.0, -0.010900058695442399, 0.0, -0.0036995329824397703, 0.0, 0.016909739328259416, 0.0, -0.02868488565396305, 0.0, 0.03899922668031712, 0.0, -0.047847129242857306, 0.0, 0.055241745198346355, 0.0, -0.06121255747452979, 0.0, 0.06580450160206958, 0.0, -0.06907974418784121, 0.0, 0.07111431032846423, 0.0, -0.07199494176848227, 0.0, 0.07181774446715175, 0.0, -0.07069018562174541, 0.0, 0.06871925181731287, 0.0, -0.06602291129163688, 0.0, 0.06270957731929594, 0.0, -0.05891204530482334, 0.0, 0.05471191911807771, 0.0, -0.05025112736224538, 0.0, 0.04561951600244085, 0.0, -0.04090680661871552, 0.0, 0.03620442085717078, 0.0, -0.031597062450073175, 0.0, 0.027153318718356013, 0.0, -0.02292974182205161, 0.0, 0.018973227310942746, 0.0, -0.015322282363179715, 0.0, 0.012006273035483562, 0.0, -0.009044350859876439, 0.0, 0.006444693076745021, 0.0, -0.004206614326649804, 0.0, 0.0023226604917253356, 0.0, -0.0007784306320754075, 0.0, -0.00044551759511208514, 0.0, 0.0013723607471184652, 0.0, -0.002028477487243093, 0.0, 0.0024444260459401484, 0.0, -0.0026498366281275786, 0.0, 0.0026784853261242973, 0.0, -0.002560509176164018, 0.0, 0.01068057549466966]"
"2048","101","1","0.00017124236174916147","1577.0556828975677","[0.18881121294038947, -0.16652740698666024, 0.144501018573095, -0.12291154048096761, 0.10191987947109885, -0.08168003317305474, 0.06233759992186225, -0.04402481050701261, 0.026856556704315884, -0.010931409975927908, -0.0036682172340519715, 0.016877698361720376, -0.028652511207653893, 0.03896804386204146, -0.04781835462014854, 0.05521519911490946, -0.061187933583290874, 0.0657828457398818, -0.06906180096598508, 0.07110029575902656, -0.07198545430327832, 0.07181391837103483, -0.07068997647123487, 0.06872381922368011, -0.06602968437588923, 0.06272358306681404, -0.058920925620035126, 0.05473449936501765, -0.05027295819456624, 0.045639541805372164, -0.04093065440524052, 0.036234446736308344, -0.03162978026943147, 0.027185842542687595, -0.02296181108830579, 0.01900635061477578, -0.01535723520292386, 0.012041965117115933, -0.009078644723271606, 0.006476510505556921, -0.00423594317843119, 0.0023495485660401227, -0.0008035267760128441, -0.0004212238739688717, 0.0013490210275907512, -0.00200750200664075, 0.002426029170623864, -0.002635106707466497, 0.0026676577034141554, -0.0025520655403661174, 0.010661549601179618]","[0.0, 0.1888104440318764, 0.0, -0.16652542971353032, 0.0, 0.14449843984356447, 0.0, -0.12290887797648244, 0.0, 0.10191756450482725, 0.0, -0.08167841418792016, 0.0, 0.06233694663864169, 0.0, -0.04402531872002409, 0.0, 0.026858353691716647, 0.0, -0.010934560464609586, 0.0, -0.003663704626058354, 0.0, 0.016871864296743838, 0.0, -0.028645438521806538, 0.0, 0.038959850303174795, 0.0, -0.047809185559879286, 0.0, 0.05520522036433874, 0.0, -0.06117732443928901, 0.0, 0.06577179238431213, 0.0, -0.06905049033210993, 0.0, 0.07108890996655998, 0.0, -0.07197416574701132, 0.0, 0.07180288552913977, 0.0, -0.07067934047945043, 0.0, 0.0687137012416353, 0.0, -0.06602018375226326, 0.0, 0.06271477629061617, 0.0, -0.05891286602607763, 0.0, 0.05472721754378843, 0.0, -0.050266463041731324, 0.0, 0.04563382213469043, 0.0, -0.04092568104020812, 0.0, 0.036230174989693574, 0.0, -0.031626152716288394, 0.0, 0.02718279199238024, 0.0, -0.022959263664586147, 0.0, 0.019004228858681766, 0.0, -0.01535546112017945, 0.0, 0.012040463100505019, 0.0, -0.009077344291927306, 0.0, 0.006475348815823581, 0.0, -0.004234867272668567, 0.0, 0.002348517336492056, 0.0, -0.0008025126322557461, 0.0, -0.0004222336341517945, 0.0, 0.001350023135132854, 0.0, -0.002008476410211595, 0.0, 0.002426938474844981, 0.0, -0.002635895831982658, 0.0, 0.002668253734133756, 0.0, -0.0025523777418501076, 0.0, 0.010661477250909084]"
"4096","101","1","0.00012017925928337269","1650.0592682361603","[0.18881116870800346, -0.1665215111206242, 0.14449458703711213, -0.12290127049794777, 0.1019060007182418, -0.08166426978210106, 0.06232031662415418, -0.04400513761756303, 0.026834790863815343, -0.010908921125988286, -0.003690458266802901, 0.016899820526042525, -0.028674631110659324, 0.03898956377075544, -0.04783835738813359, 0.05523323745959002, -0.06120402704599887, 0.06579707794311697, -0.06907396491061621, 0.07110989359867458, -0.07199191450852398, 0.07181696228366927, -0.07068972315348503, 0.06872054770612815, -0.06602354971250432, 0.06271461393588611, -0.0589091621673033, 0.054720094478902706, -0.050256209204376595, 0.04562078934542441, -0.040910162370017426, 0.036212501654036305, -0.03160689634304567, 0.027162500352759824, -0.022938078554697264, 0.01898214490292049, -0.015332999220609359, 0.012018421382412188, -0.009056078753932115, 0.006454833161890136, -0.004215451524921022, 0.0023305912517394413, -0.0007859304134560574, -0.00043776228084710644, 0.0013639830633543268, -0.0020205426522551116, 0.002437524273835451, -0.0026452633426209695, 0.0026752514060081178, -0.0025593289246944088, 0.010678624144959618]","[0.0, 0.18881109062690554, 0.0, -0.16652132574994644, 0.0, 0.14449438041885548, 0.0, -0.12290111357531111, 0.0, 0.10190595027555763, 0.0, -0.08166436943761055, 0.0, 0.06232059787174411, 0.0, -0.04400562091145831, 0.0, 0.026835486738364424, 0.0, -0.0109098313408336, 0.0, -0.0036893395675040293, 0.0, 0.01689850565287985, 0.0, -0.028673137680088008, 0.0, 0.038987913581986805, 0.0, -0.0478365753398071, 0.0, 0.055231350519814176, 0.0, -0.06120206328853054, 0.0, 0.06579506566130641, 0.0, -0.06907193181926276, 0.0, 0.07110786613214182, 0.0, -0.07198991722145949, 0.0, 0.07181501735853732, 0.0, -0.07068785001686799, 0.0, 0.06871876275347635, 0.0, -0.06602186613885405, 0.0, 0.06271304166809072, 0.0, -0.05890770789149169, 0.0, 0.05471876175521987, 0.0, -0.050254998659707895, 0.0, 0.045619698933844356, 0.0, -0.04090918769006598, 0.0, 0.03621163631158272, 0.0, -0.03160613234847189, 0.0, 0.027161828541457243, 0.0, -0.022937489020373937, 0.0, 0.018981627434022832, 0.0, -0.015332543731235146, 0.0, 0.012018018330193211, 0.0, -0.009055719538431348, 0.0, 0.006454510498327181, 0.0, -0.004215159789461473, 0.0, 0.002330326795731406, 0.0, -0.0007856918448638584, 0.0, -0.0004379738495282116, 0.0, 0.0013641638003496568, 0.0, -0.0020206858240475432, 0.0, 0.002437620093861728, 0.0, -0.0026452988494332285, 0.0, 0.002675210368893761, 0.0, -0.0025591917751335205, 0.0, 0.010678369037819397]"
"8192","101","1","1.44786776125344e-05","1650.386710882187","[0.1888109639510379, -0.16652093140668747, 0.14449372059997215, -0.12290020170388194, 0.10190474347582594, -0.08166277151172258, 0.06231853135664739, -0.04400308188622259, 0.026832546704679702, -0.010906609667617157, -0.003692720322368249, 0.016901975265989376, -0.02867669932885376, 0.03899158369923076, -0.04784028518122874, 0.05523494471530721, -0.06120542177259692, 0.06579817707740916, -0.0690748160518864, 0.0711104851138118, -0.07199217888917202, 0.07181681656608474, -0.07068913482821564, 0.06871960343854673, -0.06602236956142896, 0.06271317373824807, -0.05890733350015559, 0.05471784599153421, -0.05025362296353306, 0.04561796511801031, -0.04090722289033283, 0.03620951777292911, -0.031603766333856885, 0.02715916921273093, -0.02293477540890066, 0.01897904597750724, -0.015329924559894775, 0.012015284379477438, -0.009053187331366721, 0.006452319104122421, -0.004213006038066304, 0.0023281237592506555, -0.0007837484776863357, -0.00043964522806855494, 0.0013658666378336785, -0.002022315239382057, 0.0024388686308637443, -0.002646445953580895, 0.0026764423306776756, -0.002559935843972669, 0.010680604584797608]","[0.0, 0.18881096794770277, 0.0, -0.16652094686498892, 0.0, 0.14449375299632272, 0.0, -0.12290025494101331, 0.0, 0.10190482008430393, 0.0, -0.08166287283951991, 0.0, 0.06231865774619176, 0.0, -0.04400323283857131, 0.0, 0.02683272103069212, 0.0, -0.01090680562617452, 0.0, -0.0036925048988890644, 0.0, 0.01690174285863743, 0.0, -0.028676452630969487, 0.0, 0.038991325526728106, 0.0, -0.04784001839370407, 0.0, 0.05523467214735533, 0.0, -0.061205146174716014, 0.0, 0.06579790106588615, 0.0, -0.06907454206707721, 0.0, 0.07111021538627486, 0.0, -0.07199191541316557, 0.0, 0.07181656107998857, 0.0, -0.0706888888014924, 0.0, 0.06871936806491519, 0.0, -0.06602214575796599, 0.0, 0.0627129621501738, 0.0, -0.0589071345110819, 0.0, 0.0547176597389735, 0.0, -0.050253449359461404, 0.0, 0.045617803874267185, 0.0, -0.04090707354860944, 0.0, 0.03620937973905798, 0.0, -0.031603638916058385, 0.0, 0.02715905166341142, 0.0, -0.022934666969528446, 0.0, 0.018978945926018717, 0.0, -0.015329832260008999, 0.0, 0.012015199331228386, 0.0, -0.009053109222100165, 0.0, 0.006452247859148913, 0.0, -0.004212941870119984, 0.0, 0.0023280672158861627, 0.0, -0.0007837004857419619, 0.0, -0.0004396833218028273, 0.0, 0.0013658930305659855, 0.0, -0.0020223276416457387, 0.0, 0.0024388642419044633, 0.0, -0.0026464214433833356, 0.0, 0.0026763938290855415, 0.0, -0.002559858937225673, 0.0, 0.010680494396989952]"
"16384","101","1","4.59737418510313e-06","1668.9064960479736","[0.18881102420288437, -0.16652112626266466, 0.14449406918976776, -0.12290070144279037, 0.10190537368985671, -0.08166350308237025, 0.0623193445469756, -0.04400398883688606, 0.026833563105927234, -0.010907699941816104, -0.003691623298261124, 0.01690089908937138, -0.028675622014266215, 0.03899048692575257, -0.047839193009474576, 0.05523390902085626, -0.06120446784960143, 0.06579728349301589, -0.06907397245397744, 0.07110972584967863, -0.07199152866238084, 0.0718162656134819, -0.07068868150128646, 0.06871925750661012, -0.06602213195962793, 0.06271304946391563, -0.05890731526564099, 0.0547179060122223, -0.05025377788195482, 0.045618255895871665, -0.040907604335243965, 0.03620992282359461, -0.031604234256816396, 0.027159732422970154, -0.022935358037309155, 0.018979619062671753, -0.015330542475229124, 0.01201591555330646, -0.009053765281556336, 0.006452889273628229, -0.00421359701003693, 0.0023286656965388493, -0.0007842452200152996, -0.0004391354763077348, 0.0013654043666406143, -0.002021949099387187, 0.0024385189319108434, -0.002646143903256463, 0.0026762219697720933, -0.0025596502210374025, 0.01068034382754873]","[0.0, 0.18881100906464807, 0.0, -0.16652108334387525, 0.0, 0.1444940051748795, 0.0, -0.12290062263095379, 0.0, 0.1019052859059737, 0.0, -0.08166341160030256, 0.0, 0.06231925402710846, 0.0, -0.044003903279682746, 0.0, 0.026833485822518037, 0.0, -0.010907633542052549, 0.0, -0.003691676900452189, 0.0, 0.016900938654071156, 0.0, -0.02867564693833843, 0.0, 0.03899049719201989, 0.0, -0.04783918912438227, 0.0, 0.05523389194299576, 0.0, -0.06120443891165857, 0.0, 0.06579724431980229, 0.0, -0.06907392487920236, 0.0, 0.07110967183402303, 0.0, -0.07199147021525498, 0.0, 0.07181620472059516, 0.0, -0.07068862005983964, 0.0, 0.06871919726955994, 0.0, -0.0660220744900743, 0.0, 0.06271299610025197, 0.0, -0.058907267097693825, 0.0, 0.054717863868210564, 0.0, -0.050253742325726616, 0.0, 0.045618227233552175, 0.0, -0.04090758263014645, 0.0, 0.03620990791803125, 0.0, -0.03160422579928947, 0.0, 0.02715972989913594, 0.0, -0.022935360803087747, 0.0, 0.0189796263779161, 0.0, -0.015330553536469949, 0.0, 0.012015929524242366, 0.0, -0.009053781320156091, 0.0, 0.006452906554942796, 0.0, -0.004213614744070708, 0.0, 0.0023286831407959754, 0.0, -0.0007842616866010326, 0.0, -0.0004391206188955896, 0.0, 0.0013653916966603428, 0.0, -0.0020219391493662255, 0.0, 0.002438512199775581, 0.0, -0.0026461408662018637, 0.0, 0.0026762230999080976, 0.0, -0.002559656001808277, 0.0, 0.01068035486359749]"
"32768","101","1","2.4065423512953894e-06","1565.6957330703735","[0.1888109891983755, -0.1665210243251575, 0.14449390432542944, -0.12290047012475917, 0.10190507008021077, -0.08166313647284974, 0.062318937748884466, -0.044003551226091994, 0.026833086482830674, -0.010907188476643691, -0.003692147718593605, 0.01690142469281247, -0.02867615060602138, 0.03899101123899306, -0.04783969385838928, 0.055234373512154794, -0.06120489892837264, 0.06579768467935687, -0.0690743279155642, 0.07111001708841327, -0.07199176117983595, 0.07181644677081823, -0.07068879951051261, 0.06871930966633931, -0.0660221265982786, 0.06271297839377502, -0.058907178687933194, 0.054717729185598064, -0.05025356495866045, 0.045617990461892605, -0.040907295760569985, 0.03620958651361267, -0.031603867107183506, 0.02715934385126504, -0.0229349630774584, 0.018979212569133028, -0.015330129773997747, 0.012015515063428584, -0.009053371723741009, 0.006452498862222399, -0.004213230411639292, 0.0023283277972125653, -0.0007839284095980638, -0.0004394212801321171, 0.00136566184926966, -0.0020221885215075293, 0.002438721367099483, -0.0026463241319441963, 0.002676388195796833, -0.0025597633267909576, 0.010680661393442705]","[0.0, 0.18881098614271485, 0.0, -0.1665210154405179, 0.0, 0.14449389097715246, 0.0, -0.122900453636472, 0.0, 0.10190505170708428, 0.0, -0.08166311737746398, 0.0, 0.062318918980373526, 0.0, -0.044003533703102865, 0.0, 0.026833070980685176, 0.0, -0.010907175618936706, 0.0, -0.003692157463879517, 0.0, 0.016901431012748946, 0.0, -0.028676153337946136, 0.0, 0.03899101036183595, 0.0, -0.047839689480564565, 0.0, 0.05523436585656594, 0.0, -0.06120488831514181, 0.0, 0.06579767150693597, 0.0, -0.06907431264090463, 0.0, 0.07111000020686736, 0.0, -0.07199174320543596, 0.0, 0.0718164282175324, 0.0, -0.07068878087501176, 0.0, 0.06871929141272816, 0.0, -0.06602210914515486, 0.0, 0.06271296210388022, 0.0, -0.058907163860557686, 0.0, 0.054717716051800855, 0.0, -0.050253553679264915, 0.0, 0.04561798112813061, 0.0, -0.0409072883971634, 0.0, 0.036209581084014494, 0.0, -0.03160386352064517, 0.0, 0.02715934197135772, 0.0, -0.022934962731652568, 0.0, 0.018979213559032534, 0.0, -0.015330131885833546, 0.0, 0.012015518078437336, 0.0, -0.009053375428088335, 0.0, 0.0064525030561750785, 0.0, -0.004213234917742758, 0.0, 0.0023283324672875015, 0.0, -0.000783933130431568, 0.0, -0.0004394165824643376, 0.0, 0.001365657206454522, 0.0, -0.0020221839213679415, 0.0, 0.0024387167531894367, 0.0, -0.0026463194042240868, 0.0, 0.0026763832122143148, 0.0, -0.0025597579055699274, 0.0, 0.010680655338660052]"
